,id,Lat,Lon,Name,Adress,Phone,nsel,estado,ciudad
0,158,19.341136,-99.209296,Av.Toluca,"Av.Toluca207-B,OlivardelosPadres,01780,",NaN,3,CDMX,Azcapotzalco
1,159,19.389665,-99.210673,SantaFe,"CaminoaSantaFe440-B,ElPara&#237",NaN,4,CDMX,Azcapotzalco
2,160,19.375537,-99.195824,AlfonsoXIII,"FranzHals51,AlfonsoXIII,01460,",NaN,5,CDMX,Azcapotzalco
3,161,19.366084,-99.198853,LomasdePlateros,"Tacuba1,MercedG&#243",NaN,6,CDMX,Azcapotzalco
4,162,19.370675,-99.216023,OlivardelConde,SantaLuc&#237,NaN,7,CDMX,Azcapotzalco
5,382,19.3560625,-99.1983125,Lasflores(PROX),"Avenidadelasflores275,Campestre,01040,AlvaroObregon",,8,CDMX,Azcapotzalco
6,163,19.468723,-99.177258,Camarones,"CalzadaCamarones396,Claver&#237",NaN,10,CDMX,Cuauhtémoc
7,389,19.470322,-99.189487,BPINVIERNO,Av.AquilesSerd&#225,NaN,11,CDMX,Cuauhtémoc
8,10,19.3628596872268,-99.1651462241731,SucursalDelValle,F&#233,NaN,13,CDMX,Iztacalco
9,164,19.385918,-99.157475,Narvarte,Cuauht&#233,NaN,14,CDMX,Iztacalco
10,166,19.37099,-99.1884,Mixcoac,Casta&#241,NaN,15,CDMX,Iztacalco
11,167,19.379119,-99.135303,Nativitas,Av.PlutarcoEl&#237,NaN,16,CDMX,Iztacalco
12,168,19.358758,-99.169867,Coyoac&#225,Av.PlutarcoEl&#237,NaN,17,CDMX,Iztacalco
13,169,19.315294,-99.108052,SucursalCafetales,"Yajalen3,Fracc.ResidencialCafetales,04918,Coyoac&#225",NaN,19,CDMX,MiguelHidalgo
14,170,19.353036,-99.144809,CountryClub,"Tlalpan1774,CountryClub,04210,Coyoac&#225",NaN,20,CDMX,MiguelHidalgo
15,171,19.3373035983637,-99.1193397473602,Taxque&#241,"Tlalpan1774,CountryClub,04210,Coyoac&#225",NaN,21,CDMX,MiguelHidalgo
16,172,19.357611,-99.1229,PradoChurubusco,"ErmitaIztapalapa445,PradoChurubusco,04230,Coyoac&#225",NaN,22,CDMX,MiguelHidalgo
17,173,19.344108,-99.149169,Divisi&#243,"ErmitaIztapalapa445,PradoChurubusco,04230,Coyoac&#225",NaN,23,CDMX,MiguelHidalgo
18,174,19.443813,-99.165688,Tacuba(BajoPuente),Calz.M&#233,NaN,25,CDMX,Tlalpan
19,175,19.409632,-99.135843,Chabacano,AntonioSol&#237,NaN,26,CDMX,Tlalpan
20,176,19.443737,-99.140118,Reforma,"PaseodelaReforma358,Guerrero,06300,Cuauht&#233",NaN,27,CDMX,Tlalpan
21,177,19.434744,-99.138164,Bol&#237,"PaseodelaReforma358,Guerrero,06300,Cuauht&#233",NaN,28,CDMX,Tlalpan
22,178,19.434249,-99.136112,IsabellaCat&#243,"PaseodelaReforma358,Guerrero,06300,Cuauht&#233",NaN,29,CDMX,Tlalpan
23,179,19.4496759598118,-99.1386063816147,Tlatelolco,EjeCentralL&#225,NaN,30,CDMX,Tlalpan
24,221,19.422532,-99.17035,Sevilla,"Sevilla41,Col.Juarez,06600,Cuauht&#233",NaN,31,CDMX,Tlalpan
25,180,19.50899,-99.100171,CTMAtzacoalco,"Av.FernandoAmilpa80,UnidadHabitacional,AtzacoalcoCTM,07090,GustavoA.Madero",62850444,33,CDMX,Xochimilco
26,366,19.452813,-99.108415,EDUARDOMOLINA(PROXIMAMENTE),"RioConsulado4006,LaMalinche,07899,GustavoA.Madero",62850400,34,CDMX,Xochimilco
27,385,19.4887036,-99.0992971,DIAZMIRON(PROX),"Oriente1573402,SalvadorDiazMiron,07400,GustavoA.Madero",,35,CDMX,Xochimilco
28,181,19.39353,-99.065705,Agr&#237,"Oriente1573402,SalvadorDiazMiron,07400,GustavoA.Madero",NaN,37,CDMX,AtizapánZaragoza
29,182,19.381649,-99.134287,MilitarMarte,Av.PlutarcoEl&#237,NaN,38,CDMX,AtizapánZaragoza
30,183,19.387216783108,-99.0666663386231,Sur24,"Sur24248,Agr&#237",NaN,39,CDMX,AtizapánZaragoza
31,128,19.357267,-99.115326,Radam&#233,"Sur24248,Agr&#237",NaN,41,CDMX,Chimalhuacán
32,129,19.356396,-99.105455,SucursalBarrioSantaB&#225,"Sur24248,Agr&#237",NaN,42,CDMX,Chimalhuacán
33,130,19.366051,-99.116598,SucursalSectorPopular,"SUR107A615,SECTORPOPULAR,09060,IZTAPALAPA",62850427,43,CDMX,Chimalhuacán
34,131,19.334698,-99.081341,SucursalXalpa,"113,SanJuanXalpa,09850,Iztapalapa",62850410,44,CDMX,Chimalhuacán
35,132,19.361559,-99.094576,SucursalBarrioLaAsunci&#243,"113,SanJuanXalpa,09850,Iztapalapa",NaN,45,CDMX,Chimalhuacán
36,133,19.338347,-99.109071,SanAntonioCulhuacan,"Tlahuac429,SanAntonioCulhuacan,09800,Iztapalapa",62850408,46,CDMX,Chimalhuacán
37,134,19.364777,-99.110777,Escuadr&#243,"Tlahuac429,SanAntonioCulhuacan,09800,Iztapalapa",NaN,47,CDMX,Chimalhuacán
38,135,19.320296,-99.08374,GranjasEstrella,M&#233,NaN,48,CDMX,Chimalhuacán
39,136,19.361032,-99.116399,HeroesChurubusco,"AtanacioSarabia1564,HeroesdeChurubusco,09060,Iztapalapa",62850426,49,CDMX,Chimalhuacán
40,137,19.351383,-99.051943,SucursalJacarandas,"MelchorOcampo49,Jacarandas,09280,Iztapalapa",62850424,50,CDMX,Chimalhuacán
