,id,lat,lng,thumbnail,available_sqm,num_spaces_value,min_rent_price_space_value,min_sale_price_space_value,label,building_slug,url_path,url_ws
0,25662,21.739419595457292,-102.29759554352253,https://solili.s3.amazonaws.com/media/PI-25662_thumbnail_1575906418.jpg,"11,038 m²",1,USD $3.80+ m²/mes,,"11,038 m²",/naves/vpai-01-aguascalientes-ags/25662/,/nave-en-renta/vpai-01-aguascalientes-ags/1610/,/ws/search/space-detail/industrial/1610/
1,25663,21.7412653637,-102.296646419,https://solili.s3.amazonaws.com/media/PI-25663_thumbnail_1575906805.jpg,"11,444 m²",1,USD $3.80+ m²/mes,,"11,444 m²",/naves/vpai-02-aguascalientes-ags/25663/,/nave-en-renta/vpai-02-aguascalientes-ags/1611/,/ws/search/space-detail/industrial/1611/
2,25667,21.74575158220351,-102.28438163258743,https://solili.s3.amazonaws.com/media/PI-25667_thumbnail_1600704251.jpg,"10,058 m²",1,USD $4.00+ m²/mes,,"10,058 m²",/naves/building-ii-aguascalientes-ags/25667/,/nave-en-renta/building-ii-aguascalientes-ags/2281/,/ws/search/space-detail/industrial/2281/
3,26511,21.752018,-102.286535,https://solili.s3.amazonaws.com/media/PI-26511_thumbnail_1642625600.jpg,"16,503 m²",1,USD $4.41+ m²/mes,,"16,503 m²",/naves/nave-1-aguascalientes-ags/26511/,/nave-en-renta/nave-1-aguascalientes-ags/3061/,/ws/search/space-detail/industrial/3061/
4,26738,22.026027425179965,-102.28068336129138,https://solili.s3.amazonaws.com/media/PI-26738_thumbnail_1630002407.jpg,"3,132 m²",1,USD $5.00+ m²/mes,,"3,132 m²",/naves/santa-fe-1-aguascalientes-ags/26738/,/nave-en-renta/santa-fe-1-aguascalientes-ags/1956/,/ws/search/space-detail/industrial/1956/
5,1282,32.4474472695,-116.882205899,https://solili.s3.amazonaws.com/media/PI-1282_thumbnail_1624481359.jpg,908 m²,1,,,908 m²,/naves/jumbolon-de-mexico-tijuana-tij/1282/,/nave-en-renta/jumbolon-de-mexico-tijuana-tij/2835/,/ws/search/space-detail/industrial/2835/
6,1915,32.4400806,-116.990225,https://solili.s3.amazonaws.com/media/PI-1915_thumbnail_1647999775.jpg,"12,000 m²",1,USD $5.92+ m²/mes,,"12,000 m²",/naves/nave-n8-spec-i-tijuana-tij/1915/,/nave-en-renta/nave-n8-spec-i-tijuana-tij/2867/,/ws/search/space-detail/industrial/2867/
7,2222,32.54281,-116.90648,https://solili.s3.amazonaws.com/media/IMG_93431473930080_building_space.jpg,"8,782 m²",1,USD $6.78+ m²/mes,,"8,782 m²",/naves/alfa-i-tijuana-tij/2222/,/nave-en-renta/alfa-i-tijuana-tij/3185/,/ws/search/space-detail/industrial/3185/
8,2470,32.380861769,-117.041993977,https://solili.s3.amazonaws.com/media/PI-2470_thumbnail_1606437145.jpg,"9,785 m²",1,,,"9,785 m²",/naves/rosarito-industrial-facility-tijuana-tij/2470/,/nave-en-renta/rosarito-industrial-facility-tijuana-tij/2419/,/ws/search/space-detail/industrial/2419/
9,2685,32.4906064248,-117.032861699,https://solili.s3.amazonaws.com/media/20170111_1159541485144939_building_thumbnail.jpg,"20,438 m²",1,USD $6.03+ m²/mes,USD $39+ m²,"20,438 m²",/naves/scripto-tokai-jmp-tijuana-tij/2685/,/nave-en-renta/scripto-tokai-jmp-tijuana-tij/180/,/ws/search/space-detail/industrial/180/
10,3393,32.45502653956181,-116.97526404684022,https://solili.s3.amazonaws.com/media/PI-3393_thumbnail_1648238404.jpg,"8,646 m²",1,USD $6.78+ m²/mes,,"8,646 m²",/naves/pacifico-facility-tijuana-tij/3393/,/nave-en-renta/pacifico-facility-tijuana-tij/3184/,/ws/search/space-detail/industrial/3184/
