,id,lat,lng,thumbnail,available_sqm,num_spaces_value,min_rent_price_space_value,min_sale_price_space_value,label,building_slug,url_path,url_ws
0,1076,32.4878770163,-116.904752451,https://solili.s3.amazonaws.com/media/PI-1076_thumbnail_1587765949.jpg,"3,495 m²",1,,,"3,495 m²",/naves/ugcom-facility-tijuana-tij/1076/,/nave-en-venta/ugcom-facility-tijuana-tij/3042/,/ws/search/space-detail/industrial/3042/
1,2685,32.4906064248,-117.032861699,https://solili.s3.amazonaws.com/media/20170111_1159541485144939_building_thumbnail.jpg,"20,438 m²",1,USD $6.03+ m²/mes,USD $39+ m²,"20,438 m²",/naves/scripto-tokai-jmp-tijuana-tij/2685/,/nave-en-renta/scripto-tokai-jmp-tijuana-tij/180/,/ws/search/space-detail/industrial/180/
2,16726,32.6670370563,-115.41132614,https://solili.s3.amazonaws.com/media/PI-16726_thumbnail_1537985145.jpg,499 m²,1,USD $3.01+ m²/mes,,499 m²,/naves/nave-saturno-mexicali-mexi/16726/,/nave-en-renta/nave-saturno-mexicali-mexi/944/,/ws/search/space-detail/industrial/944/
3,17497,31.875223,-116.61799,https://solili.s3.amazonaws.com/media/PI-17497_thumbnail_1541054924.jpg,750 m²,1,,USD $53+ m²,750 m²,/naves/granero-de-mexicali-ensenada-ens/17497/,/nave-en-venta/granero-de-mexicali-ensenada-ens/999/,/ws/search/space-detail/industrial/999/
4,17498,31.778857,-116.591984,https://solili.s3.amazonaws.com/media/PI-17498_thumbnail_1541055844.jpg,313 m²,1,USD $7.00+ m²/mes,"MXN $1,955+ m²",313 m²,/naves/bodega-comercial-ensenada-ens/17498/,/nave-en-renta/bodega-comercial-ensenada-ens/1000/,/ws/search/space-detail/industrial/1000/
5,17500,31.84702896491946,-116.5944981299553,https://solili.s3.amazonaws.com/media/PI-17500_thumbnail_1541057223.jpg,250 m²,1,,USD $922+ m²,250 m²,/naves/nave-valle-dorado-ensenada-ens/17500/,/nave-en-venta/nave-valle-dorado-ensenada-ens/1002/,/ws/search/space-detail/industrial/1002/
6,20636,31.7069409061,-106.399609111,https://solili.s3.amazonaws.com/media/PI-20636_thumbnail_1632276928.jpg,"5,496 m²",1,,MXN $853+ m²,"5,496 m²",/naves/osrman-ii-ciudad-juarez-cj/20636/,/nave-en-venta/osrman-ii-ciudad-juarez-cj/3202/,/ws/search/space-detail/industrial/3202/
7,20637,31.7063416509,-106.399732523,https://solili.s3.amazonaws.com/media/PI-20637_thumbnail_1648835340.jpg,"5,496 m²",1,,,"5,496 m²",/naves/osrman-iii-ciudad-juarez-cj/20637/,/nave-en-venta/osrman-iii-ciudad-juarez-cj/3201/,/ws/search/space-detail/industrial/3201/
8,21300,28.7178257613,-106.118255786,https://solili.s3.amazonaws.com/media/PI-21300_thumbnail_1597158921.jpg,"20,264 m²",1,MXN $95+ m²/mes,"MXN $250,000,000+ m²","20,264 m²",/naves/oxxo-cedis-chihuahua-chi/21300/,/nave-en-renta/oxxo-cedis-chihuahua-chi/2177/,/ws/search/space-detail/industrial/2177/
9,21709,28.6382883085,-106.019495327,https://solili.s3.amazonaws.com/media/PI-21709_thumbnail_1597092798.jpg,"2,733 m²",1,MXN $128+ m²/mes,"MXN $59,712,000+ m²","2,733 m²",/naves/juan-pablo-ii-chihuahua-chi/21709/,/nave-en-renta/juan-pablo-ii-chihuahua-chi/2174/,/ws/search/space-detail/industrial/2174/
