,id,lat,lng,thumbnail,available_sqm,num_spaces_value,min_rent_price_space_value,min_sale_price_space_value,label,building_slug,url_path,url_ws
0,4417,32.52975,-117.027694,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,"5,871 m²",39,,USD $257+ m²,"5,871 m²",/oficinas/cosmopolitan-city-center-tijuana-tij/4417/,/oficina/cosmopolitan-city-center-tijuana-tij/4417/,/ws/search/building-detail/office/4417/
1,1522,32.524479,-117.012619,https://solili.s3.amazonaws.com/media/PO-1522_thumbnail_1494431046.jpg,443 m²,1,USD $19.00+ m²/mes,,443 m²,/oficinas/central-working-space-tijuana-tij/1522/,/oficina-en-venta/central-working-space-tijuana-tij/21142/,/ws/search/space-detail/office/21142/
2,2004,32.531124,-117.025613,https://solili.s3.amazonaws.com/media/PO-2004_thumbnail_1557182193.jpg,150 m²,1,USD $15.00+ m²/mes,"USD $2,100+ m²",150 m²,/oficinas/centro-corporativo-rodeo-tijuana-tij/2004/,/oficina-en-venta/centro-corporativo-rodeo-tijuana-tij/19169/,/ws/search/space-detail/office/19169/
3,4417,32.52975,-117.027694,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,"5,871 m²",39,,USD $257+ m²,"5,871 m²",/oficinas/cosmopolitan-city-center-tijuana-tij/4417/,/oficina/cosmopolitan-city-center-tijuana-tij/4417/,/ws/search/building-detail/office/4417/
4,1522,32.524479,-117.012619,https://solili.s3.amazonaws.com/media/PO-1522_thumbnail_1494431046.jpg,443 m²,1,USD $19.00+ m²/mes,,443 m²,/oficinas/central-working-space-tijuana-tij/1522/,/oficina-en-venta/central-working-space-tijuana-tij/21142/,/ws/search/space-detail/office/21142/
5,2004,32.531124,-117.025613,https://solili.s3.amazonaws.com/media/PO-2004_thumbnail_1557182193.jpg,150 m²,1,USD $15.00+ m²/mes,"USD $2,100+ m²",150 m²,/oficinas/centro-corporativo-rodeo-tijuana-tij/2004/,/oficina-en-venta/centro-corporativo-rodeo-tijuana-tij/19169/,/ws/search/space-detail/office/19169/
6,1358,19.37780244787963,-99.25693527853622,https://solili.s3.amazonaws.com/media/PO-1358_thumbnail_1557443455.jpg,"20,069 m²",60,MXN $400+ m²/mes,"USD $3,587+ m²","20,069 m²",/oficinas/the-point-ciudad-de-mexico-cdmx/1358/,/oficina/the-point-ciudad-de-mexico-cdmx/1358/,/ws/search/building-detail/office/1358/
7,615,19.363137278,-99.281432929,https://solili.s3.amazonaws.com/media/PO-615_thumbnail_1513182506.jpg,"16,022 m²",27,MXN $320+ m²/mes,"MXN $63,957+ m²","16,022 m²",/oficinas/espacio-santa-fe-ciudad-de-mexico-cdmx/615/,/oficina/espacio-santa-fe-ciudad-de-mexico-cdmx/615/,/ws/search/building-detail/office/615/
8,4626,19.437578960885634,-99.17237971564143,https://solili.s3.amazonaws.com/media/PO-4626_thumbnail_1586797400.jpg,"12,021 m²",22,MXN $450+ m²/mes,,"12,021 m²",/oficinas/distum-anzures-ciudad-de-mexico-cdmx/4626/,/oficina/distum-anzures-ciudad-de-mexico-cdmx/4626/,/ws/search/building-detail/office/4626/
9,4404,19.36519353834864,-99.18197779755326,https://solili.s3.amazonaws.com/media/PO-4404_thumbnail_1584994506.jpg,"4,087 m²",19,,"MXN $70,926+ m²","4,087 m²",/oficinas/insurgentes-1567-ciudad-de-mexico-cdmx/4404/,/oficina/insurgentes-1567-ciudad-de-mexico-cdmx/4404/,/ws/search/building-detail/office/4404/
10,4152,19.423733786972537,-99.16614742801875,https://solili.s3.amazonaws.com/media/PO-4152_thumbnail_1534980859.jpg,"3,565 m²",18,,"MXN $40,673+ m²","3,565 m²",/oficinas/florencia-65-ciudad-de-mexico-cdmx/4152/,/oficina/florencia-65-ciudad-de-mexico-cdmx/4152/,/ws/search/building-detail/office/4152/
11,653,19.385773865,-99.175298543,https://solili.s3.amazonaws.com/media/PO-653_thumbnail_1556834900.jpg,"20,400 m²",17,,"USD $3,000+ m²","20,400 m²",/oficinas/insurgentes-sur-929-ciudad-de-mexico-cdmx/653/,/oficina/insurgentes-sur-929-ciudad-de-mexico-cdmx/653/,/ws/search/building-detail/office/653/
12,1076,19.35820354899334,-99.27660427987576,https://solili.s3.amazonaws.com/media/PO-1076_thumbnail_1556835529.jpg,"18,049 m²",17,USD $25.00+ m²/mes,"USD $3,892+ m²","18,049 m²",/oficinas/corporativo-corner-ciudad-de-mexico-cdmx/1076/,/oficina/corporativo-corner-ciudad-de-mexico-cdmx/1076/,/ws/search/building-detail/office/1076/
13,4594,19.407448863990094,-99.16827438814352,https://solili.s3.amazonaws.com/media/PO-4594_thumbnail_1610580602.jpg,"1,468 m²",17,,"MXN $69,340+ m²","1,468 m²",/oficinas/work-lab-condesa-ciudad-de-mexico-cdmx/4594/,/oficina/work-lab-condesa-ciudad-de-mexico-cdmx/4594/,/ws/search/building-detail/office/4594/
14,820,19.363487513,-99.182660619,https://solili.s3.amazonaws.com/media/PO-8201468345534_thumbnail.jpg,"9,293 m²",16,USD $23.00+ m²/mes,"USD $4,200+ m²","9,293 m²",/oficinas/torre-mural-ciudad-de-mexico-cdmx/820/,/oficina/torre-mural-ciudad-de-mexico-cdmx/820/,/ws/search/building-detail/office/820/
15,1379,19.356879553384676,-99.19835435354376,https://solili.s3.amazonaws.com/media/PO-1379_thumbnail_1499804430.jpg,"4,186 m²",15,USD $20.00+ m²/mes,"MXN $58,322+ m²","4,186 m²",/oficinas/centro-alpes-ciudad-de-mexico-cdmx/1379/,/oficina/centro-alpes-ciudad-de-mexico-cdmx/1379/,/ws/search/building-detail/office/1379/
16,2027,19.444268244345356,-99.20001111924648,https://solili.s3.amazonaws.com/media/PO-2027_thumbnail_1654618448.jpg,"2,866 m²",15,MXN $380+ m²/mes,"MXN $86,780+ m²","2,866 m²",/oficinas/rio-436-ciudad-de-mexico-cdmx/2027/,/oficina/rio-436-ciudad-de-mexico-cdmx/2027/,/ws/search/building-detail/office/2027/
17,554,19.38768445,-99.251044292,https://solili.s3.amazonaws.com/media/PO-5541469223692_thumbnail.jpg,"8,986 m²",13,MXN $425+ m²/mes,"USD $5,100+ m²","8,986 m²",/oficinas/torre-arcos-bosques-i-ciudad-de-mexico-cdmx/554/,/oficina/torre-arcos-bosques-i-ciudad-de-mexico-cdmx/554/,/ws/search/building-detail/office/554/
18,1351,19.368816412323667,-99.26703214645386,https://solili.s3.amazonaws.com/media/PO-1351.21478454129_thumbnail.jpg,"3,324 m²",13,USD $18.00+ m²/mes,"USD $3,300+ m²","3,324 m²",/oficinas/seis27-ciudad-de-mexico-cdmx/1351/,/oficina/seis27-ciudad-de-mexico-cdmx/1351/,/ws/search/building-detail/office/1351/
19,1359,19.427427749564607,-99.16109293699265,https://solili.s3.amazonaws.com/media/PO-1359_thumbnail_1589483041.jpg,"17,161 m²",13,MXN $450+ m²/mes,"MXN $66,000+ m²","17,161 m²",/oficinas/centro-insurgentes-reforma-ciudad-de-mexico-cdmx/1359/,/oficina/centro-insurgentes-reforma-ciudad-de-mexico-cdmx/1359/,/ws/search/building-detail/office/1359/
20,1380,19.323257,-99.216677,https://solili.s3.amazonaws.com/media/PO-1380_thumbnail_1556837535.jpg,"13,669 m²",13,MXN $450+ m²/mes,"MXN $67,000+ m²","13,669 m²",/oficinas/centro-jardines-del-pedregal-ciudad-de-mexico-cdmx/1380/,/oficina/centro-jardines-del-pedregal-ciudad-de-mexico-cdmx/1380/,/ws/search/building-detail/office/1380/
21,2525,19.434357,-99.153724,https://solili.s3.amazonaws.com/media/PO-2525_thumbnail_1517350212.jpg,"8,438 m²",13,,,"8,438 m²",/oficinas/downtown-reforma-ciudad-de-mexico-cdmx/2525/,/oficina/downtown-reforma-ciudad-de-mexico-cdmx/2525/,/ws/search/building-detail/office/2525/
22,2541,19.363843,-99.27923,https://solili.s3.amazonaws.com/media/PO-2541_thumbnail_1556838153.jpg,"13,809 m²",13,USD $23.00+ m²/mes,"USD $3,800+ m²","13,809 m²",/oficinas/espacio-santa-fe-ii-ciudad-de-mexico-cdmx/2541/,/oficina/espacio-santa-fe-ii-ciudad-de-mexico-cdmx/2541/,/ws/search/building-detail/office/2541/
23,2526,19.3783093891,-99.255686294,https://solili.s3.amazonaws.com/media/PO-2526_thumbnail_1556837757.jpg,"10,430 m²",12,MXN $450+ m²/mes,"MXN $56,959+ m²","10,430 m²",/oficinas/reforma-379-ciudad-de-mexico-cdmx/2526/,/oficina/reforma-379-ciudad-de-mexico-cdmx/2526/,/ws/search/building-detail/office/2526/
24,706,19.443091163,-99.203388409,https://solili.s3.amazonaws.com/media/PO-706_thumbnail_1556810589.jpg,"11,536 m²",11,USD $25.00+ m²/mes,"MXN $140,000+ m²","11,536 m²",/oficinas/plaza-carso-torre-carso-ii-ciudad-de-mexico-cdmx/706/,/oficina/plaza-carso-torre-carso-ii-ciudad-de-mexico-cdmx/706/,/ws/search/building-detail/office/706/
