,id,solili_id,thumbnail,leasing_company,building_id,building_name,space_slug,building_municipality_address,divisible_minimum,available_sqm,rent_price,rent_currency,sale_price,sale_currency,industrial_park,market,all_confirmed,is_favorite,space_membership,is_for_rent,is_for_sale,Estado
0,1610,SI-1610,https://solili.s3.amazonaws.com/media/PI-25662_thumbnail_1575906418.jpg,,25662,VPAI-01,/nave-en-renta/vpai-01-aguascalientes-ags/1610/,"Aguascalientes, Aguascalientes",,11038.0,3.8,USD,,USD,Vesta Park Aguascalientes I,Aguascalientes,True,False,5,True,False,Aguascalientes
1,1611,SI-1611,https://solili.s3.amazonaws.com/media/PI-25663_thumbnail_1575906805.jpg,,25663,VPAI-02,/nave-en-renta/vpai-02-aguascalientes-ags/1611/,"Aguascalientes, Aguascalientes",6540.0,11444.0,3.8,USD,,USD,Vesta Park Aguascalientes I,Aguascalientes,True,False,5,True,False,Aguascalientes
2,1956,SI-1956,https://solili.s3.amazonaws.com/media/PI-26738_thumbnail_1630002407.jpg,,26738,Santa Fe 1,/nave-en-renta/santa-fe-1-aguascalientes-ags/1956/,"Jesús María, Aguascalientes",,3132.96,5.0,USD,,,Santa Fe Tecnopark,Aguascalientes,True,False,5,True,False,Aguascalientes
3,2281,SI-2281,https://solili.s3.amazonaws.com/media/PI-25667_thumbnail_1600704251.jpg,,25667,Building II,/nave-en-renta/building-ii-aguascalientes-ags/2281/,"Aguascalientes, Aguascalientes",,10058.0,4.0,USD,,,Finsa Aguascalientes,Aguascalientes,True,False,5,True,False,Aguascalientes
4,3061,SI-3061,https://solili.s3.amazonaws.com/media/PI-26511_thumbnail_1642625600.jpg,,26511,Building IV,/nave-en-renta/nave-1-aguascalientes-ags/3061/,"San Francisco de los Romo, Aguascalientes",,16503.0,4.41,USD,,,Finsa Aguascalientes,Aguascalientes,True,False,5,True,False,Aguascalientes
5,2225,SI-2225,https://solili.s3.amazonaws.com/media/PI-8369_thumbnail_1527293857.jpg,NAI México,8369,Sahuaro Building,/nave-en-renta/sahuaro-mexicali-mexi/2225/,"Mexicali, Baja California",,7617.95667187853,3.7673685,USD,,,Parque Industrial Sahuaro,Mexicali,True,False,-1,True,False,Baja California
6,2970,SI-2970,https://solili.s3.amazonaws.com/media/PI-29187_thumbnail_1635445792.jpg,Prologis,29187,Building 3,/nave-en-renta/building-3-tijuana-tij/2970/,"Tijuana, Baja California",,39760.4587923905,6.9965415,USD,,,Prologis Park El Florido,Tijuana,True,False,-1,True,False,Baja California
7,180,SI-180,https://solili.s3.amazonaws.com/media/20170111_1159541485144939_building_thumbnail.jpg,Araico Realty Group,2685,Scripto TOKAI JMP,/nave-en-venta/scripto-tokai-jmp-tijuana-tij/180/,"Tijuana, Baja California",,20438.6695912545,6.0277896,USD,38.63,USD,El Rubí,Tijuana,True,False,0,True,True,Baja California
8,2419,SI-2419,https://solili.s3.amazonaws.com/media/PI-2470_thumbnail_1606437145.jpg,NAI Mexico,2470,Rosarito Industrial Facility,/nave-en-renta/rosarito-industrial-facility-tijuana-tij/2419/,"Playas de Rosarito, Baja California",,9785.75629116186,,,,,Parque Industrial Rosarito,Tijuana,True,False,0,True,False,Baja California
9,3249,SI-3249,https://solili.s3.amazonaws.com/media/PI-31475_thumbnail_1651100361.jpg,NAI Mexico,31475,Realito II,/nave-en-renta/realito-ii-tijuana-tij/3249/,"Tijuana, Baja California",,7163.47498260391,7.534737,USD,,,Parque Industrial El Realito,Tijuana,True,False,0,True,False,Baja California
10,3291,SI-3291,https://solili.s3.amazonaws.com/media/PI-31513_thumbnail_1653681037.jpg,NAI Mexico,31513,Meseta IV Industrial Building,/nave-en-renta/meseta-iv-industrial-building-tijuana-tij/3291/,"Tijuana, Baja California",,7199.89297569378,7.534737,USD,,,Fuera de Parque,Tijuana,True,False,0,True,False,Baja California
11,466,SI-466,https://solili.s3.amazonaws.com/media/PI-8650_thumbnail_1520545107.jpg,,8650,BTS 3,/nave-en-renta/bts-3-tecate-tec/466/,"Tecate, Baja California",,3920.22973064621,3.8750076,USD,,USD,Tecate Gateway,Tecate,True,False,5,True,False,Baja California
