,id,solili_id,thumbnail,leasing_company,building_id,building_name,space_slug,building_municipality_address,divisible_minimum,available_sqm,rent_price,rent_currency,sale_price,sale_currency,industrial_park,market,all_confirmed,is_favorite,space_membership,is_for_rent,Estado
0,19716,SO-19716,https://solili.s3.amazonaws.com/media/PO-1513_thumbnail_1557174975.jpg,RE/MAX Procapital,1513,Edificio Cazzar,/oficina-en-renta/edificio-cazzar-tijuana-tij/19716/,,50.0,16.4,USD,,USD,1,Tijuana,True,False,1,True,False,Baja California
1,19717,SO-19717,https://solili.s3.amazonaws.com/media/PO-1513_thumbnail_1557174975.jpg,RE/MAX Procapital,1513,Edificio Cazzar,/oficina-en-renta/edificio-cazzar-tijuana-tij/19717/,,60.0,11.66,USD,,USD,1,Tijuana,True,False,1,True,False,Baja California
2,6926,SO-6926,https://solili.s3.amazonaws.com/media/PO-2018_thumbnail_1557173401.jpg,,2018,Centro Corporativo Dayco,/oficina-en-renta/centro-corporativo-dayco-tijuana-tij/6926/,55.0,700.0,19.5,USD,,USD,9,Tijuana,False,False,5,True,False,Baja California
3,6927,SO-6927,https://solili.s3.amazonaws.com/media/PO-2018_thumbnail_1557173401.jpg,,2018,Centro Corporativo Dayco,/oficina-en-renta/centro-corporativo-dayco-tijuana-tij/6927/,55.0,900.0,19.5,USD,,USD,8,Tijuana,False,False,5,True,False,Baja California
4,6928,SO-6928,https://solili.s3.amazonaws.com/media/PO-2018_thumbnail_1557173401.jpg,,2018,Centro Corporativo Dayco,/oficina-en-renta/centro-corporativo-dayco-tijuana-tij/6928/,55.0,56.0,19.5,USD,,USD,6,Tijuana,False,False,5,True,False,Baja California
5,6951,SO-6951,https://solili.s3.amazonaws.com/media/PO-2017_thumbnail_1557174257.jpg,,2017,Plaza Moroli,/oficina-en-renta/plaza-moroli-tijuana-tij/6951/,,127.0,16.0,USD,,USD,1,Tijuana,True,False,5,True,False,Baja California
6,6952,SO-6952,https://solili.s3.amazonaws.com/media/PO-2017_thumbnail_1557174257.jpg,,2017,Plaza Moroli,/oficina-en-renta/plaza-moroli-tijuana-tij/6952/,,360.0,16.0,USD,,USD,1,Tijuana,True,False,5,True,False,Baja California
7,6953,SO-6953,https://solili.s3.amazonaws.com/media/PO-2017_thumbnail_1557174257.jpg,,2017,Plaza Moroli,/oficina-en-renta/plaza-moroli-tijuana-tij/6953/,,227.0,16.0,USD,,USD,3,Tijuana,True,False,5,True,False,Baja California
8,7228,SO-7228,https://solili.s3.amazonaws.com/media/PO-2018_thumbnail_1557173401.jpg,,2018,Centro Corporativo Dayco,/oficina-en-renta/centro-corporativo-dayco-tijuana-tij/7228/,55.0,900.0,19.5,USD,,USD,7,Tijuana,False,False,5,True,False,Baja California
9,8019,,https://solili.s3.amazonaws.com/media/PO-1446_thumbnail_1494433633.jpg,,1446,Torre Platino,/oficina-en-renta/torre-platino-tijuana-tij/8019/,,0.0,0.0,USD,,USD,8,Tijuana,False,False,5,True,False,Baja California
10,8020,,https://solili.s3.amazonaws.com/media/PO-1446_thumbnail_1494433633.jpg,,1446,Torre Platino,/oficina-en-renta/torre-platino-tijuana-tij/8020/,,0.0,,USD,,USD,9,Tijuana,False,False,5,True,False,Baja California
11,8023,,https://solili.s3.amazonaws.com/media/PO-1451_thumbnail_1494434967.jpg,,1451,Via Corporativo,/oficina-en-renta/via-corporativo-tijuana-tij/8023/,,0.0,0.0,USD,,USD,4,Tijuana,True,False,5,True,False,Baja California
12,9571,SO-9571,https://solili.s3.amazonaws.com/media/PO-2017_thumbnail_1557174257.jpg,,2017,Plaza Moroli,/oficina-en-renta/plaza-moroli-tijuana-tij/9571/,,379.0,16.0,USD,,USD,3,Tijuana,False,False,5,True,False,Baja California
13,14755,SO-14755,https://solili.s3.amazonaws.com/media/PO-3921_thumbnail_1593719467.jpg,,3921,Business Hub,/oficina-en-renta/business-hub-tijuana-tij/14755/,160.0,446.0,22.0,USD,,,11,Tijuana,False,False,5,True,False,Baja California
14,14756,SO-14756,https://solili.s3.amazonaws.com/media/PO-3921_thumbnail_1593719467.jpg,,3921,Business Hub,/oficina-en-renta/business-hub-tijuana-tij/14756/,,780.0,22.0,USD,,,12,Tijuana,False,False,5,True,False,Baja California
15,14758,SO-14758,https://solili.s3.amazonaws.com/media/PO-3921_thumbnail_1593719467.jpg,,3921,Business Hub,/oficina-en-renta/business-hub-tijuana-tij/14758/,160.0,830.0,22.0,USD,,,15,Tijuana,False,False,5,True,False,Baja California
16,14759,SO-14759,https://solili.s3.amazonaws.com/media/PO-3921_thumbnail_1593719467.jpg,,3921,Business Hub,/oficina-en-renta/business-hub-tijuana-tij/14759/,160.0,813.0,22.0,USD,,,16,Tijuana,False,False,5,True,False,Baja California
17,14760,SO-14760,https://solili.s3.amazonaws.com/media/PO-3921_thumbnail_1593719467.jpg,,3921,Business Hub,/oficina-en-renta/business-hub-tijuana-tij/14760/,160.0,1666.0,22.0,USD,,,17,Tijuana,False,False,5,True,False,Baja California
18,14762,SO-14762,https://solili.s3.amazonaws.com/media/PO-3921_thumbnail_1593719467.jpg,,3921,Business Hub,/oficina-en-renta/business-hub-tijuana-tij/14762/,160.0,1666.0,22.0,USD,,,19,Tijuana,False,False,5,True,False,Baja California
19,14763,SO-14763,https://solili.s3.amazonaws.com/media/PO-3921_thumbnail_1593719467.jpg,,3921,Business Hub,/oficina-en-renta/business-hub-tijuana-tij/14763/,160.0,1666.0,22.0,USD,,,20,Tijuana,False,False,5,True,False,Baja California
20,14868,SO-14868,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-renta/cosmopolitan-city-center-tijuana-tij/14868/,,370.0,,,2551.08,USD,12,Tijuana,False,False,5,True,False,Baja California
21,15745,SO-15745,https://solili.s3.amazonaws.com/media/PO-2017_thumbnail_1557174257.jpg,,2017,Plaza Moroli,/oficina-en-renta/plaza-moroli-tijuana-tij/15745/,118.0,717.0,16.0,USD,,,2,Tijuana,False,False,5,True,False,Baja California
22,15746,SO-15746,https://solili.s3.amazonaws.com/media/PO-2017_thumbnail_1557174257.jpg,,2017,Plaza Moroli,/oficina-en-renta/plaza-moroli-tijuana-tij/15746/,208.0,455.0,16.0,USD,,,4,Tijuana,False,False,5,True,False,Baja California
23,17483,SO-17483,https://solili.s3.amazonaws.com/media/PO-1445_thumbnail_1557175912.jpg,,1445,Torre Cosmopolitan,/oficina-en-renta/torre-cosmopolitan-tijuana-tij/17483/,,37.0,27.0,USD,,,1,Tijuana,False,False,5,True,False,Baja California
24,17484,SO-17484,https://solili.s3.amazonaws.com/media/PO-1445_thumbnail_1557175912.jpg,,1445,Torre Cosmopolitan,/oficina-en-renta/torre-cosmopolitan-tijuana-tij/17484/,,157.69,18.49,USD,,,5,Tijuana,False,False,5,True,False,Baja California
25,17485,SO-17485,https://solili.s3.amazonaws.com/media/PO-1445_thumbnail_1557175912.jpg,,1445,Torre Cosmopolitan,/oficina-en-renta/torre-cosmopolitan-tijuana-tij/17485/,,163.79,19.84,USD,,,7,Tijuana,False,False,5,True,False,Baja California
26,17490,SO-17490,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/17490/,,89.4,,,237900.0,MXN,4,Tijuana,False,False,5,True,True,Baja California
27,17491,SO-17491,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/17491/,,90.8,,USD,247500.0,,4,Tijuana,False,False,5,True,True,Baja California
28,17500,SO-17500,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/17500/,,57.3,,,167900.0,MXN,5,Tijuana,False,False,5,True,True,Baja California
29,17502,SO-17502,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/17502/,,57.3,,,169900.0,MXN,6,Tijuana,False,False,5,True,True,Baja California
