,id,solili_id,thumbnail,leasing_company,building_id,building_name,space_slug,building_municipality_address,divisible_minimum,available_sqm,rent_price,rent_currency,sale_price,sale_currency,industrial_park,market,all_confirmed,is_favorite,space_membership,is_for_rent,Estado
0,14806,SO-14806,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/14806/,,90.9,,,2623.76,USD,1,Tijuana,False,False,5,False,True,Baja California
1,14812,SO-14812,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/14812/,,168.6,,,2492.58,USD,1,Tijuana,False,False,5,False,True,Baja California
2,14813,SO-14813,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/14813/,,145.8,,,2530.17,USD,1,Tijuana,False,False,5,False,True,Baja California
3,14814,SO-14814,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/14814/,,180.7,,,2470.94,USD,1,Tijuana,False,False,5,False,True,Baja California
4,14816,SO-14816,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/14816/,,89.4,,,2648.51,USD,2,Tijuana,False,False,5,False,True,Baja California
5,14818,SO-14818,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/14818/,,199.0,,,2489.94,USD,2,Tijuana,False,False,5,False,True,Baja California
6,14819,SO-14819,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/14819/,,180.7,,,2495.29,USD,2,Tijuana,False,False,5,False,True,Baja California
7,14824,SO-14824,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/14824/,,186.0,,,2450.26,USD,3,Tijuana,False,False,5,False,True,Baja California
8,14831,SO-14831,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/14831/,,53.4,,,2558.71,USD,5,Tijuana,False,False,5,False,True,Baja California
9,14836,SO-14836,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/14836/,,186.0,,,2499.46,USD,5,Tijuana,False,False,5,False,True,Baja California
10,14837,SO-14837,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/14837/,,53.4,,,2576.78,USD,6,Tijuana,False,False,5,False,True,Baja California
11,14841,SO-14841,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/14841/,,186.0,,,2524.19,USD,6,Tijuana,False,False,5,False,True,Baja California
12,14842,SO-14842,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/14842/,,53.4,,,2594.85,USD,7,Tijuana,False,False,5,False,True,Baja California
13,14844,SO-14844,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/14844/,,67.1,,,2995.67,USD,7,Tijuana,False,False,5,False,True,Baja California
14,14846,SO-14846,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/14846/,,90.4,,,257.24,USD,7,Tijuana,False,False,5,False,True,Baja California
15,14847,SO-14847,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/14847/,,90.4,,,2547.84,USD,7,Tijuana,False,False,5,False,True,Baja California
16,14848,SO-14848,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/14848/,,53.4,,,2612.91,USD,8,Tijuana,False,False,5,False,True,Baja California
17,14850,SO-14850,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/14850/,,66.8,,,3024.49,USD,8,Tijuana,False,False,5,False,True,Baja California
18,14851,SO-14851,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/14851/,,90.1,,,2589.75,USD,8,Tijuana,False,False,5,False,True,Baja California
19,14853,SO-14853,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/14853/,,53.4,,,2628.61,USD,9,Tijuana,False,False,5,False,True,Baja California
20,14856,SO-14856,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/14856/,,88.2,,,2607.26,USD,9,Tijuana,False,False,5,False,True,Baja California
21,14858,SO-14858,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/14858/,,90.4,,,2588.7,USD,9,Tijuana,False,False,5,False,True,Baja California
22,14861,SO-14861,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/14861/,,227.4,,,2613.23,USD,11,Tijuana,False,False,5,False,True,Baja California
23,14862,SO-14862,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/14862/,,370.0,,,2522.29,USD,11,Tijuana,False,False,5,False,True,Baja California
24,14863,SO-14863,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/14863/,,227.4,,,2646.87,USD,12,Tijuana,False,False,5,False,True,Baja California
25,14876,SO-14876,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/14876/,,634.0,,,2481.49,USD,13,Tijuana,False,False,5,False,True,Baja California
26,14879,SO-14879,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/14879/,,634.9,,,2564.02,USD,14,Tijuana,False,False,5,False,True,Baja California
27,17490,SO-17490,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/17490/,,89.4,,,237900.0,MXN,4,Tijuana,False,False,5,True,True,Baja California
28,17491,SO-17491,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/17491/,,90.8,,USD,247500.0,,4,Tijuana,False,False,5,True,True,Baja California
29,17500,SO-17500,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/17500/,,57.3,,,167900.0,MXN,5,Tijuana,False,False,5,True,True,Baja California
30,17502,SO-17502,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/17502/,,57.3,,,169900.0,MXN,6,Tijuana,False,False,5,True,True,Baja California
31,17507,SO-17507,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/17507/,,57.3,,,173900.0,MXN,8,Tijuana,False,False,5,True,True,Baja California
32,17508,SO-17508,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/17508/,,84.7,,,241900.0,USD,8,Tijuana,False,False,5,True,True,Baja California
33,17509,SO-17509,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/17509/,,57.4,,,175900.0,USD,9,Tijuana,False,False,5,True,True,Baja California
34,17510,SO-17510,https://solili.s3.amazonaws.com/media/PO-4417_thumbnail_1561570638.jpg,,4417,Cosmopolitan City Center,/oficina-en-venta/cosmopolitan-city-center-tijuana-tij/17510/,,53.4,,,175900.0,USD,9,Tijuana,False,False,5,True,True,Baja California
