,id,suite,divisible_minimum,available_sqm,is_for_rent,is_for_sale,rent_price,currency_rent_price,sale_price,currency_sale_price,images_gallery,images_gallery_thumbnail,map_image,description,notes,contacts,date_available,updated,cam,currency_cam,confirmed,all_confirmed,valid,is_favorite,building.id,building.position.lat,building.position.lng,building.building_name,building.full_address,building.industrial_park,building.images_gallery_thumbnail,building.market,building.building_status,building.is_for_rent,building.is_for_sale,building.total_spaces,building.slug,building.confirmed,other_spaces.contact,other_spaces.spaces_list
0,1610,VPAI-01,,11038.0,True,False,3.8,USD,,USD,"['https://solili.s3.amazonaws.com/media/PI-25662_1575906418.jpg', 'https://solili.s3.amazonaws.com/media/PI-25662_1575906304.jpg', 'https://solili.s3.amazonaws.com/media/PI-25662_1575906198.jpg']","['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-25662_thumbnail_1575906418.jpg', 'https://solili.s3.amazonaws.com/media/PI-25662_thumbnail_1575906304.jpg', 'https://solili.s3.amazonaws.com/media/PI-25662_thumbnail_1575906198.jpg']","https://maps.googleapis.com/maps/api/staticmap?center=21.739419595457292,-102.29759554352253&zoom=15&scale=false&size=600x400&maptype=roadmap&format=png&style=feature:all|element:all|visibility:simplified&visual_refresh=true&markers=icon:https://s3-us-west-2.amazonaws.com/solili/static/assets/img/maps/point-marker-black_20x20.png|21.739419595457292,-102.29759554352253&key=AIzaSyC8dEOt7Qx6gIEnnxWuImXd5ALEUTBp85w",,,"[{'id': 3501, 'name': 'Adalberto Ortega', 'professional_photo': 'https://solili.s3.amazonaws.com/static/upgrade/src/img/utils/default_photo.png', 'company': 'Vesta', 'phone': '(+52) 449 688 2601 Ext. 1202', 'confirmed': True, 'directory_url': '/perfil/adalberto-ortega-vesta/'}]",Inmediato,2022-07-21,,USD,True,True,True,False,25662,21.73941959545729,-102.29759554352252,VPAI-01,"Carretera Panamericana Sur Km. 11, Aguascalientes, Aguascalientes",Vesta Park Aguascalientes I,['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-25662_thumbnail_1575906418.jpg'],Aguascalientes,Existente,True,False,1,vpai-01-aguascalientes-ags,True,Adalberto Ortega,[]
1,1611,VPA-02,6540.0,11444.0,True,False,3.8,USD,,USD,"['https://solili.s3.amazonaws.com/media/PI-25663_1575906805.jpg', 'https://solili.s3.amazonaws.com/media/PI-25663_1575906916.jpg', 'https://solili.s3.amazonaws.com/media/PI-25663_1575906762.jpg']","['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-25663_thumbnail_1575906805.jpg', 'https://solili.s3.amazonaws.com/media/PI-25663_thumbnail_1575906916.jpg', 'https://solili.s3.amazonaws.com/media/PI-25663_thumbnail_1575906762.jpg']","https://maps.googleapis.com/maps/api/staticmap?center=21.7412653637,-102.296646419&zoom=15&scale=false&size=600x400&maptype=roadmap&format=png&style=feature:all|element:all|visibility:simplified&visual_refresh=true&markers=icon:https://s3-us-west-2.amazonaws.com/solili/static/assets/img/maps/point-marker-black_20x20.png|21.7412653637,-102.296646419&key=AIzaSyC8dEOt7Qx6gIEnnxWuImXd5ALEUTBp85w",,,"[{'id': 3501, 'name': 'Adalberto Ortega', 'professional_photo': 'https://solili.s3.amazonaws.com/static/upgrade/src/img/utils/default_photo.png', 'company': 'Vesta', 'phone': '(+52) 449 688 2601 Ext. 1202', 'confirmed': True, 'directory_url': '/perfil/adalberto-ortega-vesta/'}]",Inmediato,2022-07-21,0.26,USD,True,True,True,False,25663,21.7412653637,-102.296646419,VPAI-02,"Carretera Panamericana Sur Km. 11, Aguascalientes, Aguascalientes",Vesta Park Aguascalientes I,['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-25663_thumbnail_1575906805.jpg'],Aguascalientes,Existente,True,False,1,vpai-02-aguascalientes-ags,True,Adalberto Ortega,[]
2,1956,,,3132.96,True,False,5.0,USD,,,"['https://solili.s3.amazonaws.com/media/PI-26738_1630002407.jpg', 'https://solili.s3.amazonaws.com/media/PI-26738_1591649784.jpg']","['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-26738_thumbnail_1630002407.jpg', 'https://solili.s3.amazonaws.com/media/PI-26738_thumbnail_1591649784.jpg']","https://maps.googleapis.com/maps/api/staticmap?center=22.026027425179965,-102.28068336129138&zoom=15&scale=false&size=600x400&maptype=roadmap&format=png&style=feature:all|element:all|visibility:simplified&visual_refresh=true&markers=icon:https://s3-us-west-2.amazonaws.com/solili/static/assets/img/maps/point-marker-black_20x20.png|22.026027425179965,-102.28068336129138&key=AIzaSyC8dEOt7Qx6gIEnnxWuImXd5ALEUTBp85w",,,"[{'id': 3700, 'name': 'Mario Alberto Alvarez Michaus ', 'professional_photo': 'https://solili.s3.amazonaws.com/static/upgrade/src/img/utils/default_photo.png', 'company': 'Casa Tuya', 'phone': '(+52) 449 911 5361', 'confirmed': True, 'directory_url': '/perfil/mario-alberto-alvarez-michaus-casa-tuya/'}]",Inmediato,2022-07-21,,,True,True,True,False,26738,22.026027425179965,-102.28068336129138,Santa Fe 1,"Carretera Panamericana 16.5, Jesús María, Aguascalientes",Santa Fe Tecnopark,['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-26738_thumbnail_1630002407.jpg'],Aguascalientes,Existente,True,False,1,santa-fe-1-aguascalientes-ags,True,Mario Alberto Alvarez Michaus ,[]
3,2281,,,10058.0,True,False,4.0,USD,,,"['https://solili.s3.amazonaws.com/media/PI-25667_1600704251.jpg', 'https://solili.s3.amazonaws.com/media/PI-25667_1600704425.jpg', 'https://solili.s3.amazonaws.com/media/PI-25667_1629753122.jpg']","['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-25667_thumbnail_1600704251.jpg', 'https://solili.s3.amazonaws.com/media/PI-25667_thumbnail_1600704251.jpg', 'https://solili.s3.amazonaws.com/media/PI-25667_thumbnail_1600704425.jpg', 'https://solili.s3.amazonaws.com/media/PI-25667_thumbnail_1629753122.jpg']","https://maps.googleapis.com/maps/api/staticmap?center=21.74575158220351,-102.28438163258743&zoom=15&scale=false&size=600x400&maptype=roadmap&format=png&style=feature:all|element:all|visibility:simplified&visual_refresh=true&markers=icon:https://s3-us-west-2.amazonaws.com/solili/static/assets/img/maps/point-marker-black_20x20.png|21.74575158220351,-102.28438163258743&key=AIzaSyC8dEOt7Qx6gIEnnxWuImXd5ALEUTBp85w",,,"[{'id': 1266, 'name': 'Hector Salas ', 'professional_photo': 'https://solili.s3.amazonaws.com/static/upgrade/src/img/utils/default_photo.png', 'company': 'Finsa', 'phone': '(+52) 868 8180226', 'confirmed': True, 'directory_url': '/perfil/hector-salas-finsa/'}, {'id': 12041, 'name': 'Mariana Rivera', 'professional_photo': 'https://solili.s3.amazonaws.com/static/upgrade/src/img/utils/default_photo.png', 'company': 'Finsa', 'phone': '(+52) 55 4949 1943', 'confirmed': True, 'directory_url': '/perfil/None/'}]",Inmediato,2022-07-21,,,True,True,True,False,25667,21.74575158220351,-102.28438163258744,Building II,"Carretera Panamericana Sur Km. 114 int 39, Aguascalientes, Aguascalientes",Finsa Aguascalientes,['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-25667_thumbnail_1600704251.jpg'],Aguascalientes,Existente,True,False,1,building-ii-aguascalientes-ags,True,Hector Salas ,[]
4,3061,,,16503.0,True,False,4.41,USD,,,"['https://solili.s3.amazonaws.com/media/PI-26511_1642625600.jpg', 'https://solili.s3.amazonaws.com/media/PI-26511_1642625547.jpg']","['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-26511_thumbnail_1642625600.jpg', 'https://solili.s3.amazonaws.com/media/PI-26511_thumbnail_1642625600.jpg', 'https://solili.s3.amazonaws.com/media/PI-26511_thumbnail_1642625547.jpg']","https://maps.googleapis.com/maps/api/staticmap?center=21.752018,-102.286535&zoom=15&scale=false&size=600x400&maptype=roadmap&format=png&style=feature:all|element:all|visibility:simplified&visual_refresh=true&markers=icon:https://s3-us-west-2.amazonaws.com/solili/static/assets/img/maps/point-marker-black_20x20.png|21.752018,-102.286535&key=AIzaSyC8dEOt7Qx6gIEnnxWuImXd5ALEUTBp85w",,,"[{'id': 1266, 'name': 'Hector Salas ', 'professional_photo': 'https://solili.s3.amazonaws.com/static/upgrade/src/img/utils/default_photo.png', 'company': 'Finsa', 'phone': '(+52) 868 8180226', 'confirmed': True, 'directory_url': '/perfil/hector-salas-finsa/'}, {'id': 12041, 'name': 'Mariana Rivera', 'professional_photo': 'https://solili.s3.amazonaws.com/static/upgrade/src/img/utils/default_photo.png', 'company': 'Finsa', 'phone': '(+52) 55 4949 1943', 'confirmed': True, 'directory_url': '/perfil/None/'}]",September-22,2022-07-21,,,True,True,True,False,26511,21.752018,-102.286535,Building IV,"Carretera Panamericana Sur S/N, San Francisco de los Romo, Aguascalientes",Finsa Aguascalientes,['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-26511_thumbnail_1642625600.jpg'],Aguascalientes,En construcción,True,False,1,nave-1-aguascalientes-ags,True,Hector Salas ,[]
5,2225,,,7617.95667187853,True,False,3.7673685,USD,,,['https://solili.s3.amazonaws.com/media/PI-8369_1527293857.jpg'],['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-8369_thumbnail_1527293857.jpg'],"https://maps.googleapis.com/maps/api/staticmap?center=32.59013162,-115.361906&zoom=15&scale=false&size=600x400&maptype=roadmap&format=png&style=feature:all|element:all|visibility:simplified&visual_refresh=true&markers=icon:https://s3-us-west-2.amazonaws.com/solili/static/assets/img/maps/point-marker-black_20x20.png|32.59013162,-115.361906&key=AIzaSyC8dEOt7Qx6gIEnnxWuImXd5ALEUTBp85w",,,"[{'id': 3449, 'name': 'Gabriel Martinez ', 'professional_photo': 'https://solili.s3.amazonaws.com/static/upgrade/src/img/utils/default_photo.png', 'company': 'NAI México', 'phone': '(+52) 686 946 5371', 'confirmed': True, 'directory_url': '/perfil/gabriel-martinez-nai-mexico/'}]",Inmediato,2022-06-10,,,True,True,True,False,8369,32.59013162,-115.361906,Sahuaro Building,"Ayuntamiento 662, Mexicali, Baja California",Parque Industrial Sahuaro,['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-8369_thumbnail_1527293857.jpg'],Mexicali,Existente,True,False,1,sahuaro-mexicali-mexi,True,Gabriel Martinez ,[]
6,2970,,,39760.4587923905,True,False,6.9965415,USD,,,['https://solili.s3.amazonaws.com/media/PI-29187_1635445792.jpg'],"['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-29187_thumbnail_1635445792.jpg', 'https://solili.s3.amazonaws.com/media/PI-29187_thumbnail_1635445792.jpg']","https://maps.googleapis.com/maps/api/staticmap?center=32.445682,-116.829348&zoom=15&scale=false&size=600x400&maptype=roadmap&format=png&style=feature:all|element:all|visibility:simplified&visual_refresh=true&markers=icon:https://s3-us-west-2.amazonaws.com/solili/static/assets/img/maps/point-marker-black_20x20.png|32.445682,-116.829348&key=AIzaSyC8dEOt7Qx6gIEnnxWuImXd5ALEUTBp85w",,,"[{'id': 101, 'name': 'Juan Fernandez ', 'professional_photo': 'https://solili.s3.amazonaws.com/static/upgrade/src/img/utils/default_photo.png', 'company': 'Prologis', 'phone': '(+52) 33 31345455', 'confirmed': True, 'directory_url': '/perfil/juan-fernandez-prologis/'}]",Inmediato,2022-06-10,,,True,True,True,False,29187,32.445682,-116.829348,Building 3,"Boulevard 2000 , Tijuana, Baja California",Prologis Park El Florido,['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-29187_thumbnail_1635445792.jpg'],Tijuana,En construcción,True,False,1,building-3-tijuana-tij,True,Juan Fernandez ,[]
7,180,,,20438.6695912545,True,True,6.0277896,USD,38.63,USD,['https://solili.s3.amazonaws.com/media/20170111_1159541485144939_building.jpg'],['https://d1qt0l5rwmztsk.cloudfront.net/media/20170111_1159541485144939_building_thumbnail.jpg'],"https://maps.googleapis.com/maps/api/staticmap?center=32.4906064248,-117.032861699&zoom=15&scale=false&size=600x400&maptype=roadmap&format=png&style=feature:all|element:all|visibility:simplified&visual_refresh=true&markers=icon:https://s3-us-west-2.amazonaws.com/solili/static/assets/img/maps/point-marker-black_20x20.png|32.4906064248,-117.032861699&key=AIzaSyC8dEOt7Qx6gIEnnxWuImXd5ALEUTBp85w",,,"[{'id': 1405, 'name': 'Carlos Antonio Maldonado Araico ', 'professional_photo': 'https://solili.s3.amazonaws.com/static/upgrade/src/img/utils/default_photo.png', 'company': 'ARAICO REALTY GROUP', 'phone': '(+52) 664 6641232036', 'confirmed': True, 'directory_url': '/perfil/carlos-antonio-maldonado-araico-araico-realty-group/'}]",Inmediato,2022-06-23,,,True,True,True,False,2685,32.4906064248,-117.032861699,Scripto TOKAI JMP,"Obsidiana 6050, Tijuana, Baja California",El Rubí,['https://d1qt0l5rwmztsk.cloudfront.net/media/20170111_1159541485144939_building_thumbnail.jpg'],Tijuana,Existente,True,True,1,scripto-tokai-jmp-tijuana-tij,True,Carlos Antonio Maldonado Araico ,[]
8,2419,,,9785.75629116186,True,False,,,,,['https://solili.s3.amazonaws.com/media/PI-2470_1606437145.jpg'],"['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-2470_thumbnail_1606437145.jpg', 'https://solili.s3.amazonaws.com/media/PI-2470_thumbnail_1606437145.jpg']","https://maps.googleapis.com/maps/api/staticmap?center=32.380861769,-117.041993977&zoom=15&scale=false&size=600x400&maptype=roadmap&format=png&style=feature:all|element:all|visibility:simplified&visual_refresh=true&markers=icon:https://s3-us-west-2.amazonaws.com/solili/static/assets/img/maps/point-marker-black_20x20.png|32.380861769,-117.041993977&key=AIzaSyC8dEOt7Qx6gIEnnxWuImXd5ALEUTBp85w",,,"[{'id': 649, 'name': 'Octavio MacFarland', 'professional_photo': 'https://solili.s3.amazonaws.com/static/upgrade/src/img/utils/default_photo.png', 'company': 'NAI Mexico', 'phone': '(+1) 619 690 3029', 'confirmed': True, 'directory_url': '/perfil/octavio-macfarland-nai-mexico/'}]",Inmediato,2022-06-23,,,True,True,True,False,2470,32.380861769,-117.041993977,Rosarito Industrial Facility,"Balbino Obeso S/N, Playas de Rosarito, Baja California",Parque Industrial Rosarito,['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-2470_thumbnail_1606437145.jpg'],Tijuana,Existente,True,False,1,rosarito-industrial-facility-tijuana-tij,True,Octavio MacFarland,[]
9,3249,,,7163.47498260391,True,False,7.534737,USD,,,['https://solili.s3.amazonaws.com/media/PI-31475_1651100361.jpg'],"['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-31475_thumbnail_1651100361.jpg', 'https://solili.s3.amazonaws.com/media/PI-31475_thumbnail_1651100361.jpg']","https://maps.googleapis.com/maps/api/staticmap?center=32.44555440586404,-116.87095731496811&zoom=15&scale=false&size=600x400&maptype=roadmap&format=png&style=feature:all|element:all|visibility:simplified&visual_refresh=true&markers=icon:https://s3-us-west-2.amazonaws.com/solili/static/assets/img/maps/point-marker-black_20x20.png|32.44555440586404,-116.87095731496811&key=AIzaSyC8dEOt7Qx6gIEnnxWuImXd5ALEUTBp85w",,,"[{'id': 650, 'name': 'Arturo Valdes ', 'professional_photo': 'https://solili.s3.amazonaws.com/media/corporate_picture_1553813429.334085.jpg', 'company': 'NAI Mexico', 'phone': '(+52) 664 664 9710333', 'confirmed': True, 'directory_url': '/perfil/arturo-valdes-nai-mexico/'}, {'id': 5167, 'name': 'David Reyes ', 'professional_photo': 'https://solili.s3.amazonaws.com/static/upgrade/src/img/utils/default_photo.png', 'company': 'NAI Mexico', 'phone': '(+52) 664 227 7417', 'confirmed': True, 'directory_url': '/perfil/david-reyes-nai-mexico/'}]",Inmediato,2022-06-23,,,True,True,True,False,31475,32.44555440586404,-116.87095731496812,Realito II,"Carretera Tijuana - Tecate , Tijuana, Baja California",Parque Industrial El Realito,['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-31475_thumbnail_1651100361.jpg'],Tijuana,En construcción,True,False,1,realito-ii-tijuana-tij,True,Arturo Valdes ,[]
