,id,suite,divisible_minimum,available_sqm,is_for_rent,is_for_sale,rent_price,currency_rent_price,sale_price,currency_sale_price,images_gallery,images_gallery_thumbnail,map_image,description,notes,contacts,date_available,updated,cam,currency_cam,confirmed,all_confirmed,valid,is_favorite,building.id,building.position.lat,building.position.lng,building.building_name,building.full_address,building.industrial_park,building.images_gallery_thumbnail,building.market,building.building_status,building.is_for_rent,building.is_for_sale,building.total_spaces,building.slug,building.confirmed,other_spaces.contact,other_spaces.spaces_list
0,180,,,20438.6695912545,True,True,6.0277896,USD,38.63,USD,['https://solili.s3.amazonaws.com/media/20170111_1159541485144939_building.jpg'],['https://d1qt0l5rwmztsk.cloudfront.net/media/20170111_1159541485144939_building_thumbnail.jpg'],"https://maps.googleapis.com/maps/api/staticmap?center=32.4906064248,-117.032861699&zoom=15&scale=false&size=600x400&maptype=roadmap&format=png&style=feature:all|element:all|visibility:simplified&visual_refresh=true&markers=icon:https://s3-us-west-2.amazonaws.com/solili/static/assets/img/maps/point-marker-black_20x20.png|32.4906064248,-117.032861699&key=AIzaSyC8dEOt7Qx6gIEnnxWuImXd5ALEUTBp85w",,,"[{'id': 1405, 'name': 'Carlos Antonio Maldonado Araico ', 'professional_photo': 'https://solili.s3.amazonaws.com/static/upgrade/src/img/utils/default_photo.png', 'company': 'ARAICO REALTY GROUP', 'phone': '(+52) 664 6641232036', 'confirmed': True, 'directory_url': '/perfil/carlos-antonio-maldonado-araico-araico-realty-group/'}]",Inmediato,2022-06-23,,,True,True,True,False,2685,32.4906064248,-117.032861699,Scripto TOKAI JMP,"Obsidiana 6050, Tijuana, Baja California",El Rubí,['https://d1qt0l5rwmztsk.cloudfront.net/media/20170111_1159541485144939_building_thumbnail.jpg'],Tijuana,Existente,True,True,1,scripto-tokai-jmp-tijuana-tij,True,Carlos Antonio Maldonado Araico ,[]
1,3042,,,3495.84862749689,False,True,,,,,['https://solili.s3.amazonaws.com/media/PI-1076_1587765949.jpg'],"['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-1076_thumbnail_1587765949.jpg', 'https://solili.s3.amazonaws.com/media/PI-1076_thumbnail_1587765949.jpg']","https://maps.googleapis.com/maps/api/staticmap?center=32.4878770163,-116.904752451&zoom=15&scale=false&size=600x400&maptype=roadmap&format=png&style=feature:all|element:all|visibility:simplified&visual_refresh=true&markers=icon:https://s3-us-west-2.amazonaws.com/solili/static/assets/img/maps/point-marker-black_20x20.png|32.4878770163,-116.904752451&key=AIzaSyC8dEOt7Qx6gIEnnxWuImXd5ALEUTBp85w",,EN VENTA,"[{'id': 649, 'name': 'Octavio MacFarland', 'professional_photo': 'https://solili.s3.amazonaws.com/static/upgrade/src/img/utils/default_photo.png', 'company': 'NAI Mexico', 'phone': '(+1) 619 690 3029', 'confirmed': True, 'directory_url': '/perfil/octavio-macfarland-nai-mexico/'}]",Inmediato,2022-06-23,,,True,True,True,False,1076,32.4878770163,-116.904752451,UGCOM Facility,"Hacienda del Colorado S/N, Tijuana, Baja California",Parque Industrial Presidentes,['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-1076_thumbnail_1587765949.jpg'],Tijuana,Existente,False,True,1,ugcom-facility-tijuana-tij,True,Octavio MacFarland,[]
2,999,,,750.006270955443,False,True,,USD,53.14,USD,['https://solili.s3.amazonaws.com/media/PI-17497_1541054924.jpg'],['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-17497_thumbnail_1541054924.jpg'],"https://maps.googleapis.com/maps/api/staticmap?center=31.875223,-116.61799&zoom=15&scale=false&size=600x400&maptype=roadmap&format=png&style=feature:all|element:all|visibility:simplified&visual_refresh=true&markers=icon:https://s3-us-west-2.amazonaws.com/solili/static/assets/img/maps/point-marker-black_20x20.png|31.875223,-116.61799&key=AIzaSyC8dEOt7Qx6gIEnnxWuImXd5ALEUTBp85w",,,"[{'id': 1244, 'name': 'Francisco Henry Garcia ', 'professional_photo': 'https://solili.s3.amazonaws.com/media/corporate_picture_1244_20210113183359.jpg', 'company': 'RE/MAX HG Platinum', 'phone': '(+52) 686 6865685454', 'confirmed': True, 'directory_url': '/perfil/francisco-henry-garcia-remax/'}, {'id': 1245, 'name': 'Nahomy Soliz Arias Lelevier ', 'professional_photo': 'https://solili.s3.amazonaws.com/static/upgrade/src/img/utils/default_photo.png', 'company': 'RE/MAX HG Platinum', 'phone': '(+52) 686 6865685454', 'confirmed': True, 'directory_url': '/perfil/nahomy-soliz-arias-lelevier-remax/'}]",Inmediato,2021-05-04,,,True,False,False,False,17497,31.875223,-116.61799,Granero de Mexicali,"Av. Riveroll , Ensenada, Baja California",Fuera de parque,['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-17497_thumbnail_1541054924.jpg'],Ensenada,Existente,False,True,1,granero-de-mexicali-ensenada-ens,True,Francisco Henry Garcia ,[]
3,944,,,499.911277593365,True,True,3.0138948,USD,,,['https://solili.s3.amazonaws.com/media/PI-16726_1537985145.jpg'],['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-16726_thumbnail_1537985145.jpg'],"https://maps.googleapis.com/maps/api/staticmap?center=32.6670370563,-115.41132614&zoom=15&scale=false&size=600x400&maptype=roadmap&format=png&style=feature:all|element:all|visibility:simplified&visual_refresh=true&markers=icon:https://s3-us-west-2.amazonaws.com/solili/static/assets/img/maps/point-marker-black_20x20.png|32.6670370563,-115.41132614&key=AIzaSyC8dEOt7Qx6gIEnnxWuImXd5ALEUTBp85w",,,"[{'id': 1959, 'name': 'Enrique Fonseca ', 'professional_photo': 'https://solili.s3.amazonaws.com/static/upgrade/src/img/utils/default_photo.png', 'company': 'Productora de agua', 'phone': '(+52) 686 5637186', 'confirmed': True, 'directory_url': '/perfil/enrique-fonseca-productora-de-agua/'}]",Inmediato,2022-06-23,,,True,True,True,False,16726,32.6670370563,-115.41132614,Nave Saturno,"Saturno , Mexicali, Baja California",PIMSA,['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-16726_thumbnail_1537985145.jpg'],Mexicali,Existente,True,True,1,nave-saturno-mexicali-mexi,True,Enrique Fonseca ,[]
4,1000,,,313.08325692058,True,True,6.9965415,USD,1955.34,MXN,['https://solili.s3.amazonaws.com/media/PI-17498_1541055830.jpg'],['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-17498_thumbnail_1541055830.jpg'],"https://maps.googleapis.com/maps/api/staticmap?center=31.778857,-116.591984&zoom=15&scale=false&size=600x400&maptype=roadmap&format=png&style=feature:all|element:all|visibility:simplified&visual_refresh=true&markers=icon:https://s3-us-west-2.amazonaws.com/solili/static/assets/img/maps/point-marker-black_20x20.png|31.778857,-116.591984&key=AIzaSyC8dEOt7Qx6gIEnnxWuImXd5ALEUTBp85w",,,"[{'id': 1243, 'name': 'Eduardo Noriega ', 'professional_photo': 'https://solili.s3.amazonaws.com/static/upgrade/src/img/utils/default_photo.png', 'company': 'RE/MAX', 'phone': '(+52) 646 196 84 91', 'confirmed': True, 'directory_url': '/perfil/eduardo-noriega-remax/'}]",Inmediato,2021-05-04,,,True,False,False,False,17498,31.778857,-116.591984,Bodega Comercial,"Chapultepec , Ensenada, Baja California",Fuera de parque,['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-17498_thumbnail_1541055830.jpg'],Ensenada,Existente,True,True,1,bodega-comercial-ensenada-ens,True,Eduardo Noriega ,[]
5,1002,,,250.002090318481,False,True,,USD,921.59,USD,['https://solili.s3.amazonaws.com/media/PI-17500_1541057223.jpg'],['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-17500_thumbnail_1541057223.jpg'],"https://maps.googleapis.com/maps/api/staticmap?center=31.84702896491946,-116.5944981299553&zoom=15&scale=false&size=600x400&maptype=roadmap&format=png&style=feature:all|element:all|visibility:simplified&visual_refresh=true&markers=icon:https://s3-us-west-2.amazonaws.com/solili/static/assets/img/maps/point-marker-black_20x20.png|31.84702896491946,-116.5944981299553&key=AIzaSyC8dEOt7Qx6gIEnnxWuImXd5ALEUTBp85w",,,"[{'id': 1246, 'name': 'Ricardo Bolio Madrigal ', 'professional_photo': 'https://solili.s3.amazonaws.com/media/corporate_picture_1246_20210602120502.jpg', 'company': 'RE/MAX instantips', 'phone': '(+52) 646 646-177-2314', 'confirmed': True, 'directory_url': '/perfil/ricardo-bolio-madrigal-remax/'}]",Inmediato,2021-05-04,,,True,False,False,False,17500,31.84702896491946,-116.5944981299553,Nave Valle Dorado,"Rio Suchiate , Ensenada, Baja California",Fuera de parque,['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-17500_thumbnail_1541057223.jpg'],Ensenada,Existente,False,True,1,nave-valle-dorado-ensenada-ens,True,Ricardo Bolio Madrigal ,[]
6,2174,,492.0,2733.0,True,True,127.52,MXN,59712000.0,MXN,"['https://solili.s3.amazonaws.com/media/PI-21709_1597092798.jpg', 'https://solili.s3.amazonaws.com/media/PI-21709_1597092961.jpg', 'https://solili.s3.amazonaws.com/media/PI-21709_1597092604.jpg']","['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-21709_thumbnail_1597092798.jpg', 'https://solili.s3.amazonaws.com/media/PI-21709_thumbnail_1597092798.jpg', 'https://solili.s3.amazonaws.com/media/PI-21709_thumbnail_1597092961.jpg', 'https://solili.s3.amazonaws.com/media/PI-21709_thumbnail_1597092604.jpg']","https://maps.googleapis.com/maps/api/staticmap?center=28.6382883085,-106.019495327&zoom=15&scale=false&size=600x400&maptype=roadmap&format=png&style=feature:all|element:all|visibility:simplified&visual_refresh=true&markers=icon:https://s3-us-west-2.amazonaws.com/solili/static/assets/img/maps/point-marker-black_20x20.png|28.6382883085,-106.019495327&key=AIzaSyC8dEOt7Qx6gIEnnxWuImXd5ALEUTBp85w",,,"[{'id': 4224, 'name': 'Bono Arzate ', 'professional_photo': 'https://solili.s3.amazonaws.com/static/upgrade/src/img/utils/default_photo.png', 'company': 'Propiedad 360', 'phone': '(+52) 614 394 9440', 'confirmed': True, 'directory_url': '/perfil/bono-arzate-propiedad-360/'}]",Inmediato,2022-06-17,,,True,True,True,False,21709,28.6382883085,-106.019495327,Juan Pablo II,"Industrial Juárez , Chihuahua, Chihuahua",Fuera de Parque,['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-21709_thumbnail_1597092798.jpg'],Chihuahua,Existente,True,True,1,juan-pablo-ii-chihuahua-chi,True,Bono Arzate ,[]
7,2177,,,20264.0,True,True,95.24,MXN,250000000.0,MXN,"['https://solili.s3.amazonaws.com/media/PI-21300_1597158921.jpg', 'https://solili.s3.amazonaws.com/media/PI-21300_1597159016.jpg', 'https://solili.s3.amazonaws.com/media/PI-21300_1597158778.jpg']","['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-21300_thumbnail_1597158921.jpg', 'https://solili.s3.amazonaws.com/media/PI-21300_thumbnail_1597158921.jpg', 'https://solili.s3.amazonaws.com/media/PI-21300_thumbnail_1597159016.jpg', 'https://solili.s3.amazonaws.com/media/PI-21300_thumbnail_1597158778.jpg']","https://maps.googleapis.com/maps/api/staticmap?center=28.7178257613,-106.118255786&zoom=15&scale=false&size=600x400&maptype=roadmap&format=png&style=feature:all|element:all|visibility:simplified&visual_refresh=true&markers=icon:https://s3-us-west-2.amazonaws.com/solili/static/assets/img/maps/point-marker-black_20x20.png|28.7178257613,-106.118255786&key=AIzaSyC8dEOt7Qx6gIEnnxWuImXd5ALEUTBp85w",,,"[{'id': 4224, 'name': 'Bono Arzate ', 'professional_photo': 'https://solili.s3.amazonaws.com/static/upgrade/src/img/utils/default_photo.png', 'company': 'Propiedad 360', 'phone': '(+52) 614 394 9440', 'confirmed': True, 'directory_url': '/perfil/bono-arzate-propiedad-360/'}]",Inmediato,2022-07-21,,,True,True,True,False,21300,28.7178257613,-106.118255786,Oxxo Cedis,"Av. Nicolas Gogol , Chihuahua, Chihuahua",Chihuahua Industrial Complex,['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-21300_thumbnail_1597158921.jpg'],Chihuahua,Existente,True,True,1,oxxo-cedis-chihuahua-chi,True,Bono Arzate ,[]
8,2197,,,2270.0,False,True,,,13567089.0,MXN,"['https://solili.s3.amazonaws.com/media/PI-21714_1597332947.jpg', 'https://solili.s3.amazonaws.com/media/PI-21714_1597333785.jpg', 'https://solili.s3.amazonaws.com/media/PI-21714_1597333394.jpg', 'https://solili.s3.amazonaws.com/media/PI-21714_1597333020.jpg']","['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-21714_thumbnail_1597332947.jpg', 'https://solili.s3.amazonaws.com/media/PI-21714_thumbnail_1597332947.jpg', 'https://solili.s3.amazonaws.com/media/PI-21714_thumbnail_1597333785.jpg', 'https://solili.s3.amazonaws.com/media/PI-21714_thumbnail_1597333394.jpg', 'https://solili.s3.amazonaws.com/media/PI-21714_thumbnail_1597333020.jpg']","https://maps.googleapis.com/maps/api/staticmap?center=28.6361456874,-106.021040552&zoom=15&scale=false&size=600x400&maptype=roadmap&format=png&style=feature:all|element:all|visibility:simplified&visual_refresh=true&markers=icon:https://s3-us-west-2.amazonaws.com/solili/static/assets/img/maps/point-marker-black_20x20.png|28.6361456874,-106.021040552&key=AIzaSyC8dEOt7Qx6gIEnnxWuImXd5ALEUTBp85w",,,"[{'id': 4224, 'name': 'Bono Arzate ', 'professional_photo': 'https://solili.s3.amazonaws.com/static/upgrade/src/img/utils/default_photo.png', 'company': 'Propiedad 360', 'phone': '(+52) 614 394 9440', 'confirmed': True, 'directory_url': '/perfil/bono-arzate-propiedad-360/'}]",Inmediato,2022-06-17,,,True,True,True,False,21714,28.6361456874,-106.021040552,Nave Industrial 10,"Industrial 10 , Chihuahua, Chihuahua",Fuera de Parque,['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-21714_thumbnail_1597332947.jpg'],Chihuahua,Existente,False,True,1,nave-industrial-10-chihuahua-chi,True,Bono Arzate ,[]
9,2198,,,2282.0,True,True,51.71,MXN,13000000.0,MXN,"['https://solili.s3.amazonaws.com/media/PI-28252_1597336313.jpg', 'https://solili.s3.amazonaws.com/media/PI-28252_1597335863.jpg']","['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-28252_thumbnail_1597336313.jpg', 'https://solili.s3.amazonaws.com/media/PI-28252_thumbnail_1597336313.jpg', 'https://solili.s3.amazonaws.com/media/PI-28252_thumbnail_1597335863.jpg']","https://maps.googleapis.com/maps/api/staticmap?center=28.645676,-106.010253&zoom=15&scale=false&size=600x400&maptype=roadmap&format=png&style=feature:all|element:all|visibility:simplified&visual_refresh=true&markers=icon:https://s3-us-west-2.amazonaws.com/solili/static/assets/img/maps/point-marker-black_20x20.png|28.645676,-106.010253&key=AIzaSyC8dEOt7Qx6gIEnnxWuImXd5ALEUTBp85w",,,"[{'id': 4224, 'name': 'Bono Arzate ', 'professional_photo': 'https://solili.s3.amazonaws.com/static/upgrade/src/img/utils/default_photo.png', 'company': 'Propiedad 360', 'phone': '(+52) 614 394 9440', 'confirmed': True, 'directory_url': '/perfil/bono-arzate-propiedad-360/'}]",Inmediato,2022-06-17,,,True,True,True,False,28252,28.645676,-106.010253,Bodega 17a,"Decimoséptima , Chihuahua, Chihuahua",Fuera de Parque,['https://d1qt0l5rwmztsk.cloudfront.net/media/PI-28252_thumbnail_1597336313.jpg'],Chihuahua,Existente,True,True,1,bodega-17a-chihuahua-chi,True,Bono Arzate ,[]
