,identificador,direccion,moneda,price,bath,lat,lon,geo,estado,act,thumb,url
0,25353035,"Margaritas #416, Col. Florida C.P. 01030, Álvaro Obregón",MXN,19000000.000000,,19.3559202,-99.1802147,"{'state': 'DF / CDMX', 'state_id': '1', 'city': 'Álvaro Obregón', 'city_id': '1', 'colony': 'Florida', 'sepomex_id': '6', 'zipcode': '01030'}",DF / CDMX,2 días en Propiedades.com,https://propiedadescom.s3.amazonaws.com/files/292x200/08d263c9dcb52a36b1c32b60262bbb03.JPG,https://propiedades.com/inmuebles/oficina-en-venta-margaritas-416-florida-df-25353035#tipos=comercial-venta&area=df&pos=1
1,25360831,"Monterrey Col. Roma Sur C.P. 06760, Cuauhtémoc",MXN,2625000.000000,2,19.4108649,-99.1625506,"{'state': 'DF / CDMX', 'state_id': '1', 'city': 'Cuauhtémoc', 'city_id': '6', 'colony': 'Roma Sur', 'sepomex_id': '743', 'zipcode': '06760'}",DF / CDMX,18 horas en Propiedades.com,https://propiedadescom.s3.amazonaws.com/files/292x200/monterrey-roma-sur-cuauhtemoc-df-cdmx-25360831-foto-01.jpg,https://propiedades.com/inmuebles/oficina-en-venta-monterrey-roma-sur-df-25360831#tipos=comercial-venta&area=df&pos=2
2,25327323,"GUADALUPE VICTORIA #44, Col. Santa María Aztahuacán C.P. 09570, Iztapalapa",MXN,4320000.000000,2,19.3557105,-99.0267202,"{'state': 'DF / CDMX', 'state_id': '1', 'city': 'Iztapalapa', 'city_id': '9', 'colony': 'Santa María Aztahuacán', 'sepomex_id': '138795', 'zipcode': '09570'}",DF / CDMX,9 días en Propiedades.com,https://propiedadescom.s3.amazonaws.com/files/292x200/332f566d9e6e9a54a5e85c745ab10a17.jpg,https://propiedades.com/inmuebles/bodega-en-venta-guadalupe-victoria-44-santa-maria-aztahuacan-df-25327323#tipos=comercial-venta&area=df&pos=3
3,25299800,"BLVD. ADOLFO LOPES MATEOS #65, Col. Progreso Tizapan C.P. 01080, Álvaro Obregón",MXN,5800000.000000,3,19.3348115,-99.2044432,"{'state': 'DF / CDMX', 'state_id': '1', 'city': 'Álvaro Obregón', 'city_id': '1', 'colony': 'Progreso Tizapan', 'sepomex_id': '15', 'zipcode': '01080'}",DF / CDMX,16 días en Propiedades.com,https://propiedadescom.s3.amazonaws.com/files/292x200/ecb9bcda46445e4ce162e7fe499759ab.JPG,https://propiedades.com/inmuebles/local-en-venta-blvd-adolfo-lopes-mateos-65-progreso-tizapan-df-25299800#tipos=comercial-venta&area=df&pos=4
4,25294205,"Anillo Periférico #3031, Col. Toriello Guerra C.P. 14050, Tlalpan",MXN,35000000.000000,,19.295914,-99.1563309,"{'state': 'DF / CDMX', 'state_id': '1', 'city': 'Tlalpan', 'city_id': '14', 'colony': 'Toriello Guerra', 'sepomex_id': '1674', 'zipcode': '14050'}",DF / CDMX,17 días en Propiedades.com,https://propiedadescom.s3.amazonaws.com/files/292x200/f91787ebdcae9f64a2bc38875faeb280.jpeg,https://propiedades.com/inmuebles/edificio-en-venta-anillo-periferico-3031-toriello-guerra-df-25294205#tipos=comercial-venta&area=df&pos=5
5,25261424,"SAN FRANCISCO #504 #656, Col. Del Valle Centro C.P. 03100, Benito Juárez",MXN,2850000.000000,,19.397567,-99.167166,"{'state': 'DF / CDMX', 'state_id': '1', 'city': 'Benito Juárez', 'city_id': '3', 'colony': 'Del Valle Centro', 'sepomex_id': '398', 'zipcode': '03100'}",DF / CDMX,24 días en Propiedades.com,https://propiedadescom.s3.amazonaws.com/files/292x200/256a5ee301298de9afa19d3abd1644f5.jpg,https://propiedades.com/inmuebles/oficina-en-venta-san-francisco-656-del-valle-centro-df-25261424#tipos=comercial-venta&area=df&pos=6
6,25234253,"Petrarca #17, Col. Polanco V Sección C.P. 11560, Miguel Hidalgo",MXN,5100000.000000,,19.430456,-99.1889121,"{'state': 'DF / CDMX', 'state_id': '1', 'city': 'Miguel Hidalgo', 'city_id': '11', 'colony': 'Polanco V Sección', 'sepomex_id': '1493', 'zipcode': '11560'}",DF / CDMX,29 días en Propiedades.com,https://propiedadescom.s3.amazonaws.com/files/292x200/668f51c13ce04a345c4b9bb08ac5942b.jpg,https://propiedades.com/inmuebles/oficina-en-venta-petrarca-17-polanco-v-seccion-df-25234253#tipos=comercial-venta&area=df&pos=7
7,25299536,"16 de Septiembre Col. Centro (Área 1) C.P. 06000, Cuauhtémoc",MXN,60000000.000000,,19.4325282,-99.1376811,"{'state': 'DF / CDMX', 'state_id': '1', 'city': 'Cuauhtémoc', 'city_id': '6', 'colony': 'Centro (Área 1)', 'sepomex_id': '673', 'zipcode': '06000'}",DF / CDMX,16 días en Propiedades.com,https://propiedadescom.s3.amazonaws.com/files/292x200/16-de-septiembre-centro-area-1-cuauhtemoc-df-cdmx-25299536-foto-01.jpg,https://propiedades.com/inmuebles/edificio-en-venta-16-de-septiembre-centro-area-1-df-25299536#tipos=comercial-venta&area=df&pos=8
8,25010473,"Av, Chapultepec  #350, Col. Roma Norte C.P. 06700, Cuauhtémoc",MXN,35000000.000000,,19.4227872,-99.1652935,"{'state': 'DF / CDMX', 'state_id': '1', 'city': 'Cuauhtémoc', 'city_id': '6', 'colony': 'Roma Norte', 'sepomex_id': '733', 'zipcode': '06700'}",DF / CDMX,2 meses en Propiedades.com,https://propiedadescom.s3.amazonaws.com/files/292x200/0e8df10ff035d14d4d4503dafb0a2896.jpg,https://propiedades.com/inmuebles/edificio-en-venta-av-chapultepec-350-roma-norte-df-25010473#tipos=comercial-venta&area=df&pos=9
9,25002873,"Antonio Caso #165, Col. San Rafael C.P. 06470, Cuauhtémoc",MXN,75000000.000000,,19.4355891,-99.1662176,"{'state': 'DF / CDMX', 'state_id': '1', 'city': 'Cuauhtémoc', 'city_id': '6', 'colony': 'San Rafael', 'sepomex_id': '715', 'zipcode': '06470'}",DF / CDMX,2 meses en Propiedades.com,https://propiedadescom.s3.amazonaws.com/files/292x200/6d5d02420258856549fd6c78f96fd38d.jpg,https://propiedades.com/inmuebles/edificio-en-venta-antonio-caso-165-san-rafael-df-25002873#tipos=comercial-venta&area=df&pos=10
10,24952403,"Campos Eliseos #189, Col. Polanco IV Sección C.P. 11550, Miguel Hidalgo",MXN,21500000.000000,0,19.4303847,-99.1868662,"{'state': 'DF / CDMX', 'state_id': '1', 'city': 'Miguel Hidalgo', 'city_id': '11', 'colony': 'Polanco IV Sección', 'sepomex_id': '1492', 'zipcode': '11550'}",DF / CDMX,3 meses en Propiedades.com,https://propiedadescom.s3.amazonaws.com/files/292x200/6fe4914651e14f7a9395e6be85b373d6.JPG,https://propiedades.com/inmuebles/local-en-venta-campos-eliseos-189-polanco-iv-seccion-df-24952403#tipos=comercial-venta&area=df&pos=11
11,24954841,"Casas grandes Col. Del Valle Centro C.P. 03100, Benito Juárez",MXN,20000000.000000,,19.3967503,-99.1466045,"{'state': 'DF / CDMX', 'state_id': '1', 'city': 'Benito Juárez', 'city_id': '3', 'colony': 'Del Valle Centro', 'sepomex_id': '398', 'zipcode': '03100'}",DF / CDMX,3 meses en Propiedades.com,https://propiedadescom.s3.amazonaws.com/files/292x200/casas-grandes-del-valle-centro-benito-juarez-df-cdmx-24954841-foto-01.jpg,https://propiedades.com/inmuebles/edificio-en-venta-casas-grandes-del-valle-centro-df-24954841#tipos=comercial-venta&area=df&pos=12
12,25024146,"Av. Sudermann #121, Col. Chapultepec Morales C.P. 11570, Miguel Hidalgo",MXN,49000000.000000,9,19.4367777,-99.1840324,"{'state': 'DF / CDMX', 'state_id': '1', 'city': 'Miguel Hidalgo', 'city_id': '11', 'colony': 'Chapultepec Morales', 'sepomex_id': '178636', 'zipcode': '11570'}",DF / CDMX,2 meses en Propiedades.com,https://propiedadescom.s3.amazonaws.com/files/292x200/avenida-sudermann-121-chapultepec-morales-miguel-hidalgo-df-cdmx-25024146-foto-01.jpg,https://propiedades.com/inmuebles/edificio-en-venta-av-sudermann-121-chapultepec-morales-df-25024146#tipos=comercial-venta&area=df&pos=13
13,25024221,"FRANCISCO GIRARDON #82, Col. Santa María Nonoalco C.P. 01420, Álvaro Obregón",MXN,28500000.000000,0,19.38036,-99.194424,"{'state': 'DF / CDMX', 'state_id': '1', 'city': 'Álvaro Obregón', 'city_id': '1', 'colony': 'Santa María Nonoalco', 'sepomex_id': '130', 'zipcode': '01420'}",DF / CDMX,2 meses en Propiedades.com,https://propiedadescom.s3.amazonaws.com/files/292x200/francisco-girardon-82-santa-maria-nonoalco-alvaro-obregon-df-cdmx-25024221-foto-01.jpg,https://propiedades.com/inmuebles/oficina-en-venta-francisco-girardon-82-santa-maria-nonoalco-df-25024221#tipos=comercial-venta&area=df&pos=14
14,24973520,"Ejército Nacional #888, Col. Polanco I Sección C.P. 11510, Miguel Hidalgo",MXN,6000000.000000,,19.430456,-99.1889121,"{'state': 'DF / CDMX', 'state_id': '1', 'city': 'Miguel Hidalgo', 'city_id': '11', 'colony': 'Polanco I Sección', 'sepomex_id': '1486', 'zipcode': '11510'}",DF / CDMX,3 meses en Propiedades.com,https://propiedadescom.s3.amazonaws.com/files/292x200/62eac6d1b8293fb785e1fe2d589ff838.jpg,https://propiedades.com/inmuebles/oficina-en-venta-ejercito-nacional-888-polanco-i-seccion-df-24973520#tipos=comercial-venta&area=df&pos=15
15,25027599,"Reforma #935, Col. Lomas de Chapultepec VII Sección C.P. 11000, Miguel Hidalgo",USD,8000000.000000,0,19.4229479,-99.2173765,"{'state': 'DF / CDMX', 'state_id': '1', 'city': 'Miguel Hidalgo', 'city_id': '11', 'colony': 'Lomas de Chapultepec VII Sección', 'sepomex_id': '1418', 'zipcode': '11000'}",DF / CDMX,2 meses en Propiedades.com,https://propiedadescom.s3.amazonaws.com/files/292x200/reforma-935-lomas-de-chapultepec-vii-seccion-miguel-hidalgo-df-cdmx-25027599-foto-01.jpg,https://propiedades.com/inmuebles/oficina-en-venta-reforma-935-lomas-de-chapultepec-vii-seccion-df-25027599#tipos=comercial-venta&area=df&pos=16
16,25218032,"AMATLAN Col. Hipódromo Condesa C.P. 06170, Cuauhtémoc",MXN,23900000.000000,,19.4089477,-99.1802147,"{'state': 'DF / CDMX', 'state_id': '1', 'city': 'Cuauhtémoc', 'city_id': '6', 'colony': 'Hipódromo Condesa', 'sepomex_id': '697', 'zipcode': '06170'}",DF / CDMX,1 mes en Propiedades.com,https://propiedadescom.s3.amazonaws.com/files/292x200/8375615513fbca22a6c5527fd9b4b1e0.jpg,https://propiedades.com/inmuebles/edificio-en-venta-amatlan-hipodromo-condesa-df-25218032#tipos=comercial-venta&area=df&pos=17
