,spot,titulo,descripcion,links,imagen,lat,lon,price,currency,fech_ini,fec_end,fea_json
0,LOCAL COMERCIAL EN VENTA,Col del Valle Centro,"Se traspasa negocio “Chilaquil del valle” con mas de 8 años operando, clientela garantizada tanto físicamente como en plataformas digitales.",https://www.vivanuncios.com.mx/a-venta-locales-comerciales/del-valle-centro/local-comercial-en-venta/1003787837160911296535709,https://img.vivanuncios.com.mx/api/v1/mx-pt10-ads/images/53/5342a38a-3734-437a-9268-1e680540c014?rule=s-I72.auto,19.38247,-99.16537,900000,MXN,2022-08-26,2022-11-20,{'Vendedor(a)': 'Inmobiliaria'}
1,LOCAL COMERCIAL EN VENTA,Universidad Copilco,"LOCAL COMERCIAL CON EXCELENTE UBICACION EN AV COPILCO, ENTRE AV UNIVERSIDAD E INSURGENTES Y CERCA DE PLAZAS COMERCIALES, A 5 MIN DE CU Y CON CLIENTELA DE 3 CONJUNTOS HABITACIONALES.CUENTA CON UN BANO Y SERVICIOS COMPLETOS, LISTO PARA CUALQUIER GIRO DE NEGOCIO",https://www.vivanuncios.com.mx/a-venta-locales-comerciales/coyoacan/local-comercial-en-venta/1003816587170911296537009,https://img.vivanuncios.com.mx/api/v1/mx-pt10-ads/images/2d/2def5c49-cdfa-4f0d-a2d6-5202c81977a5?rule=s-I72.auto,19.33832,-99.18645,950000,MXN,2022-08-26,2022-11-20,{'Vendedor(a)': 'Inmobiliaria'}
2,"Edificio en venta Simón Bolívar, Venustiano Carranza con 3 deptos",Simón Bolívar,"¡Magnifica propiedad con tres departamentos! 

Depto. 1:  2 niveles, 80 mts terreno, 139 mts de construcción, cuenta con cocina, sala, comedor, 3 recámaras y 2 baños completos.

Depto. 2: 1 nivel 98 mts, sala, comedor, cocina, recamara, baño y un medio baño. 

Depto. 3:  1 nivel, 103 mts, sala, comedor, cocina, dos recámaras y un baño completo.

Los departamentos cuentan con área de lavado en la azotea, área de convivencia, asador y preparación para videocámaras.

Garaje para 1 auto con portón automatizado.

**Comprador, agradeciendo tu preferencia te bonificamos el 1% de tu compra (Se aplican términos y condiciones). EasyBroker ID: EB-KS8298",https://www.vivanuncios.com.mx/a-venta-edificios/simon-bolivar/edificio-en-venta-simon-bolivar-venustiano-carranza-con-3-deptos/1003803894950911184507209,https://img.vivanuncios.com.mx/api/v1/mx-pt10-ads/images/6d/6de9b4b0-6f62-4548-bc32-a6fe99a2961c?rule=s-I72.auto,19.44659,-99.0983,5700000,MXN,2022-08-26,2022-09-21,"{'Construídos': '383', 'Recámara(s)': '6+', 'Garage': '1', 'Terreno': '203', 'Vendedor(a)': 'Inmobiliaria'}"
3,"RENTA DE OFICINA  ÁLVARO OBREGÓN ,CIUDA DE MÉXICO   CDMX",Tlacopac,"RENTA DE OFICINA EN LATERAL DE PERIFÉRICO MUY CERCA DE LAS FLORES Y  METRO BARRANCA DEL MUERTO 
MUY CERCA DE BARRANCA DE MUERTO 
110 MT
NIVEL .3
INTERIOR
ELEVADOR 
3 ESTACIONAMIENTOS TECHADOS 
AIRE ACONDICIONADO
SEGURIDAD 24 HR VIGILANCIA DE POLICÍAS
RENTA $ 23,000.00 + iVA
SEGURIDAD  $ 4,675.00
AVAL 
DISPONIBLE EN FEBRERO",https://www.vivanuncios.com.mx/a-venta-oficinas/tlacopac/renta-de-oficina-alvaro-obregon-ciuda-de-mexico-cdmx/1003816663240911148670009,https://img.vivanuncios.com.mx/api/v1/mx-pt10-ads/images/0f/0f971849-7d4f-4042-9a40-02b21a44b21c?rule=s-I72.auto,19.35483,-99.19955,23000,MXN,2022-08-26,2022-11-03,"{'Garage': '3', 'Terreno': '110', 'Vendedor(a)': 'Inmobiliaria'}"
4,Local en venta ideal para oficina ó tintorería,Lomas de San Ángel Inn,"Local ubicado en Boulevard Adolfo López Mateos (Periférico Sur) a unos pasos de televisa San Angel anteriormente se manejaba como tintorería pero se puede adaptar para una pequeña oficina con posibilidad de crecer al local que se encuentra junto de la misma medida, cuenta con un estacionamiento y baño privado. EasyBroker ID: EB-LB3682",https://www.vivanuncios.com.mx/a-venta-locales-comerciales/lomas-de-san-angel-inn/local-en-venta-ideal-para-oficina-o-tintoreria/1003814816380911060060909,https://img.vivanuncios.com.mx/api/v1/mx-pt10-ads/images/89/89f0bb28-618e-4f14-a9cd-cce8f8222311?rule=s-I72.auto,19.34624,-99.20277,2100000,MXN,2022-08-26,2022-10-27,"{'Garage': '1', 'Vendedor(a)': 'Inmobiliaria'}"
5,OFICINAS COMERCIALES  EN VENTA,San Pedro Mártir,"Oficinas con Bodega  Comercial a pie de carretera federal a Cuernavaca, en Tlalpan muy cerca de la estación del metrobús caminero, vías de acceso Insurgentes Sur, Periférico y Viaducto Tlalpan, super Via . Planta baja, estacionamiento exterior para  autos.ideal para oficina  con bodega. EasyBroker ID: EB-EX3478",https://www.vivanuncios.com.mx/a-venta-edificios/san-pedro-martir-tlalpan-df/oficinas-comerciales-en-venta/1003811912920911060060909,https://img.vivanuncios.com.mx/api/v1/mx-pt10-ads/images/4c/4c928401-cf41-49d8-9cb6-a62eba80497a?rule=s-I72.auto,19.25895,-99.17311,16000000,MXN,2022-08-26,2022-10-17,"{'Construídos': '1800', 'Recámara(s)': '6+', 'Garage': '4+', 'Terreno': '1000', 'Vendedor(a)': 'Inmobiliaria'}"
6,"Local comercial de 2 niveles, en venta en Mixcoátl, Iztapalapa.",Mixcoatl,"ATENCIÓN INVERSIONISTAS. Local comercial SUPER ACREDITADO como restaurante, en dos niveles con 4 medios baños, adicionalmente cuenta con un departamento de dos recámaras y un baño completo. Se ubica en calle comercial de fácil acceso. 
También hay opción a renta, 18,000 mensuales.  Se puede utilizar para cualquier giro.  El precio se puede negociar. Visitas, previa cita.",https://www.vivanuncios.com.mx/a-venta-locales-comerciales/mixcoatl/local-comercial-de-2-niveles-en-venta-en-mixcoatl-iztapalapa/1003698712910910972880609,https://img.vivanuncios.com.mx/api/v1/mx-pt10-ads/images/33/33a00b78-0e7d-484b-a91d-b8302d57a1bc?rule=s-I72.auto,19.32465,-99.04899,3885000,MXN,2022-08-26,2022-10-02,{'Vendedor(a)': 'Inmobiliaria'}
7,"Bodega en venta en Santa María Aztahuacán, Iztapalapa.",Zona Urbana Ejidal Santa María Aztahuacan,"Bodega y casa habitacional con uso de suelo mixto en dos niveles con una superficie de 747 m2 de terrenos y 1,222 m2 de construcción. Planta baja con dos bodegas independientes, cada una con dos medios baños y un pequeño comedor para empleados, actualmente se utiliza para fabricar material quirúrgico. Por separado tiene un departamento de 273 m2 aproximadamente con sala, comedor, cocina equipada, 3 recamaras con closets, 2 baños completos y área de lavado, pisos de interceramic,  ventanas de aluminio, excelentes acabados, así como una casa independiente de 180 m2 con estancia, sala - comedor, 2 recamaras con closets, 1 baño completo, cocina con tarja,  area de lavado y ventanas de aluminio. La casa cuenta con ocho estacionamientos en total. Portón eléctrico, cámaras de vigilancia, cisterna, equipo de bombeoremodelada hace dos años. Vialidades accesibles como Eje 7 Oriente Av. Guelatao, Eje 6 Sur Av. de las Torres. Uso de suelo HC/3/50. Ninguna restricción que demerite el inmueble.",https://www.vivanuncios.com.mx/a-venta-bodegas/santa-maria-aztahuacan-ampliacion/bodega-en-venta-en-santa-maria-aztahuacan-iztapalapa/1003651528430910972880609,https://img.vivanuncios.com.mx/api/v1/mx-pt10-ads/images/02/02fb194e-7ee4-46ed-a93e-8be72669ed41?rule=s-I72.auto,0.0,0.0,13000000,MXN,2022-08-26,2022-10-02,{'Vendedor(a)': 'Inmobiliaria'}
8,"Bodega en venta, Leyes de Reforma",Leyes de Reforma 3ra Secc,"Oportunidad de Negocio. Bodega en venta en Leyes de Reforma. Nave en venta con 800 m2 de terreno, 350 m2 de patio y 78 m2 de oficinas. Excelente ubicación muy cerca de la Central de Abastos, a unos metros del Eje 5 Sur, Estación de Metrobus, Parque Tezontle y Plaza Oriente.",https://www.vivanuncios.com.mx/a-venta-bodegas/iztapalapa/bodega-en-venta-leyes-de-reforma/1003806991470910972880609,https://img.vivanuncios.com.mx/api/v1/mx-pt10-ads/images/0a/0a48d55d-c5b2-4d72-a277-633247b4ef37?rule=s-I72.auto,19.37743,-99.06893,11000000,MXN,2022-08-26,2022-10-02,{'Vendedor(a)': 'Inmobiliaria'}
9,EDIFICIO EN VENTA,Gabriel Ramos Millán,"Edificio A remodelar de 120m² de terreno que cuenta con 6 departamentos de 50m² aprox. ideales para rentar, a 3 cuadras de Av. Río Churubusco y metrobus Goma.",https://www.vivanuncios.com.mx/a-venta-edificios/gabriel-ramos-millan/edificio-en-venta/1003710240000911297601209,https://img.vivanuncios.com.mx/api/v1/mx-pt10-ads/images/4b/4b2156fd-904d-478c-96c9-3d4e4ca506e0?rule=s-I72.auto,19.39573,-99.10085,2400000,MXN,2022-08-26,2022-11-20,"{'Construídos': '—', 'Recámara(s)': '6+', 'Vendedor(a)': 'Inmobiliaria'}"
